frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1700,19.2016,0.0000,10.2977,2.4483,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834560000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0155,0.0389,0.0004,0.0012,0.0043,2.4483,0.0150,0.0000,0.3222,0.0004,0.0004,0.1076,0.0012,0.0011,0.0003
1701,19.2125,0.0000,10.4115,2.8658,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834560000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0133,0.0315,0.0005,0.0028,0.0047,2.8658,0.0144,0.0000,0.3058,0.0003,0.0002,0.1210,0.0011,0.0007,0.0005
1702,19.2235,0.0000,10.9704,2.8865,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834560000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0003,0.0122,0.0230,0.0009,0.0024,0.0049,2.8865,0.0093,0.0000,0.2519,0.0007,0.0002,0.0979,0.0014,0.0005,0.0007
1703,19.2356,0.0000,11.5258,3.2436,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834560000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0003,0.0155,0.0376,0.0007,0.0026,0.0067,3.2436,0.0142,0.0000,0.3589,0.0005,0.0006,0.1352,0.0019,0.0006,0.0005
1704,19.2463,0.0000,10.6917,3.4297,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834564096,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0004,0.0182,0.0332,0.0006,0.0024,0.0049,3.4297,0.0152,0.0000,0.3549,0.0002,0.0003,0.1408,0.0019,0.0007,0.0006
1705,19.2585,0.0000,12.0160,3.3939,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834564096,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0162,0.0291,0.0008,0.0026,0.0046,3.3939,0.0202,0.0000,0.3166,0.0004,0.0002,0.1133,0.0023,0.0009,0.0018
1706,19.2688,0.0000,10.9475,3.0242,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834564096,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0003,0.0239,0.0262,0.0009,0.0027,0.0041,3.0242,0.0160,0.0000,0.2630,0.0003,0.0000,0.1035,0.0009,0.0009,0.0008
1707,19.2787,0.0000,10.4795,2.5297,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834564096,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0005,0.0065,0.0234,0.0005,0.0026,0.0062,2.5297,0.0143,0.0000,0.2272,0.0003,0.0003,0.0994,0.0013,0.0004,0.0004
1708,19.2903,0.0000,10.4675,3.6266,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834564096,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0167,0.0323,0.0007,0.0018,0.0042,3.6266,0.0135,0.0000,0.3218,0.0006,0.0005,0.1141,0.0009,0.0007,0.0006
1709,19.3013,0.0000,11.5036,2.9236,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,834564096,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0130,0.0349,0.0006,0.0022,0.0028,2.9236,0.0183,0.0000,0.3504,0.0003,0.0002,0.1272,0.0011,0.0011,0.0009
