frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1362,18.0266,0.0000,13.5281,5.8769,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837922816,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0318,0.0640,0.0082,0.0036,5.8769,0.0078,0.0000,0.9320,0.0002,0.1448,0.1300,0.0003,0.0003,0.0003
1363,18.0451,0.0000,18.4251,5.8834,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837922816,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0031,0.0468,0.0620,0.0093,0.0066,5.8834,0.0243,0.0000,1.0913,0.0006,0.1853,0.1942,0.0006,0.0007,0.0004
1364,18.0568,0.0000,12.5036,5.2173,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837922816,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0016,0.0376,0.0568,0.0086,0.0055,5.2173,0.0101,0.0000,1.0760,0.0005,0.1946,0.1562,0.0022,0.0010,0.0008
1365,18.0723,0.0000,15.7169,5.4438,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0009,0.0484,0.0321,0.0032,0.0022,5.4438,0.0201,0.0000,1.0601,0.0008,0.1919,0.1619,0.0013,0.0004,0.0008
1366,18.0859,0.0000,14.2487,4.7259,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0013,0.0343,0.0419,0.0039,0.0034,4.7259,0.0096,0.0000,0.7279,0.0002,0.1237,0.1063,0.0007,0.0007,0.0003
1367,18.0966,0.0000,11.0820,4.4977,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0005,0.0369,0.0274,0.0024,0.0021,4.4977,0.0100,0.0000,0.9334,0.0003,0.1748,0.1156,0.0006,0.0005,0.0004
1368,18.1086,0.0000,11.7936,4.6250,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0422,0.0231,0.0020,0.0027,4.6250,0.0154,0.0000,0.9529,0.0001,0.1751,0.1268,0.0004,0.0004,0.0002
1369,18.1201,0.0000,11.9715,4.2102,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0533,0.0250,0.0021,0.0025,4.2102,0.0118,0.0000,0.9299,0.0005,0.1745,0.1148,0.0011,0.0004,0.0004
1370,18.1321,0.0000,11.6595,4.4639,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0006,0.0384,0.0259,0.0025,0.0017,4.4639,0.0099,0.0000,0.9411,0.0003,0.1734,0.1141,0.0007,0.0004,0.0003
1371,18.1447,0.0000,12.6024,4.6024,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1408,362,0,0,837926912,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0423,0.0281,0.0024,0.0069,4.6024,0.0119,0.0000,0.9731,0.0004,0.1820,0.1226,0.0006,0.0004,0.0003
