frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1745,20.0304,0.0000,11.3022,3.0662,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692932608,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0002,0.0198,0.0378,0.0007,0.0020,0.0030,3.0662,0.0151,0.0000,0.2681,0.0004,0.0002,0.1332,0.0010,0.0006,0.0006
1746,20.0409,0.0000,10.6390,3.0078,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692932608,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0002,0.0207,0.0397,0.0011,0.0019,0.0025,3.0078,0.0176,0.0000,0.2750,0.0004,0.0006,0.1352,0.0018,0.0016,0.0006
1747,20.0526,0.0000,11.4671,3.0363,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692932608,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0003,0.0189,0.0393,0.0005,0.0027,0.0039,3.0363,0.0147,0.0000,0.2602,0.0004,0.0001,0.1325,0.0012,0.0004,0.0008
1748,20.0646,0.0000,11.9966,3.2205,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692932608,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0002,0.0177,0.0376,0.0005,0.0017,0.0047,3.2205,0.0160,0.0000,0.2541,0.0001,0.0002,0.1352,0.0011,0.0003,0.0004
1749,20.0764,0.0000,11.4344,3.6344,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692932608,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0003,0.0190,0.0376,0.0008,0.0028,0.0071,3.6344,0.0213,0.0000,0.2555,0.0005,0.0003,0.1264,0.0011,0.0006,0.0003
1750,20.0893,0.0000,12.4902,3.8057,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0002,0.0255,0.0532,0.0006,0.0043,0.0061,3.8057,0.0213,0.0000,0.3062,0.0006,0.0001,0.1561,0.0014,0.0009,0.0008
1751,20.1003,0.0000,11.7425,3.2178,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0001,0.0210,0.0451,0.0007,0.0040,0.0048,3.2178,0.0226,0.0000,0.2820,0.0004,0.0004,0.1528,0.0015,0.0007,0.0003
1752,20.1116,0.0000,11.5298,3.1083,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0003,0.0178,0.0408,0.0006,0.0018,0.0039,3.1083,0.0178,0.0000,0.3187,0.0009,0.0006,0.1503,0.0022,0.0012,0.0009
1753,20.1240,0.0000,12.1485,3.2932,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0003,0.0189,0.0417,0.0005,0.0024,0.0047,3.2932,0.0157,0.0000,0.2796,0.0006,0.0003,0.1552,0.0011,0.0004,0.0003
1754,20.1361,0.0000,11.9566,3.2675,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0006,0.0211,0.0423,0.0007,0.0018,0.0053,3.2675,0.0208,0.0000,0.2891,0.0006,0.0006,0.1329,0.0013,0.0004,0.0014
1755,20.1482,0.0000,11.8028,3.6259,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0003,0.0194,0.0344,0.0018,0.0037,0.0073,3.6259,0.0155,0.0000,0.2960,0.0004,0.0003,0.1399,0.0020,0.0009,0.0008
1756,20.1595,0.0000,11.7562,3.1311,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0006,0.0176,0.0406,0.0006,0.0032,0.0067,3.1311,0.0157,0.0000,0.2682,0.0004,0.0006,0.1325,0.0020,0.0008,0.0005
1757,20.1706,0.0000,11.2157,3.2389,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0002,0.0143,0.0403,0.0007,0.0022,0.0037,3.2389,0.0141,0.0000,0.2401,0.0003,0.0001,0.1180,0.0014,0.0006,0.0007
1758,20.1820,0.0000,11.1408,3.4169,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0001,0.0135,0.0428,0.0009,0.0031,0.0053,3.4169,0.0215,0.0000,0.2807,0.0001,0.0004,0.1458,0.0018,0.0003,0.0006
1759,20.1943,0.0000,11.2952,4.1264,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692936704,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0010,0.0194,0.1240,0.0007,0.0047,0.0074,4.1264,0.0294,0.0000,0.2818,0.0005,0.0004,0.1366,0.0010,0.0011,0.0009
1760,20.2055,0.0000,11.6275,3.6868,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692940800,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0004,0.0266,0.0403,0.0006,0.0036,0.0045,3.6868,0.0212,0.0000,0.2953,0.0006,0.0002,0.1295,0.0013,0.0008,0.0002
1761,20.2165,0.0000,11.2681,3.6650,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692940800,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0005,0.0208,0.0399,0.0005,0.0029,0.0101,3.6650,0.0166,0.0000,0.2783,0.0008,0.0003,0.1351,0.0010,0.0006,0.0007
1762,20.2280,0.0000,11.3812,3.6744,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692940800,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0001,0.0227,0.0574,0.0007,0.0026,0.0059,3.6744,0.0267,0.0000,0.2929,0.0007,0.0007,0.1426,0.0013,0.0010,0.0011
1763,20.2393,0.0000,11.9525,3.0865,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,365,365,0,0,100,0,14,14,0,322560,0,365,0,0,692940800,0.000000,0.000000,0.000000,0.00,2,2,9,20,26,18,17,18,27,41,31,39,39,44,32,0,0,0,0.0001,0.0184,0.0407,0.0006,0.0028,0.0044,3.0865,0.0144,0.0000,0.2847,0.0005,0.0006,0.1421,0.0012,0.0008,0.0009
