frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
853,13.5144,0.0000,14.6528,4.0181,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867729408,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0018,0.0333,0.0554,0.0072,0.0050,4.0181,0.0097,0.0000,0.3857,0.0002,0.1987,0.1208,0.0007,0.0003,0.0008
854,13.5286,0.0000,14.4108,3.6949,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867729408,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0006,0.0329,0.0293,0.0027,0.0020,3.6949,0.0091,0.0000,0.3514,0.0003,0.1778,0.1179,0.0007,0.0004,0.0006
855,13.5438,0.0000,14.8681,3.8934,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0006,0.0019,0.0316,0.0687,0.0108,0.0058,3.8934,0.0095,0.0000,0.3720,0.0002,0.1903,0.1113,0.0006,0.0003,0.0017
856,13.5573,0.0000,14.0340,3.6009,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0006,0.0024,0.0334,0.0312,0.0040,0.0058,3.6009,0.0073,0.0000,0.5515,0.0004,0.2713,0.1770,0.0020,0.0004,0.0013
857,13.5713,0.0000,13.7554,3.7573,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0016,0.0358,0.0375,0.0049,0.0053,3.7573,0.0152,0.0000,0.4004,0.0002,0.1901,0.1485,0.0004,0.0004,0.0006
858,13.5876,0.0000,16.1934,3.6554,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0010,0.0329,0.0313,0.0032,0.0025,3.6554,0.0093,0.0000,0.3501,0.0003,0.1824,0.1120,0.0006,0.0003,0.0004
859,13.6016,0.0000,14.1528,3.7870,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0008,0.0351,0.0449,0.0071,0.0026,3.7870,0.0079,0.0000,0.3387,0.0003,0.1744,0.1099,0.0007,0.0003,0.0003
860,13.6155,0.0000,13.6680,4.1255,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0011,0.0456,0.0320,0.0045,0.0185,4.1255,0.0178,0.0000,0.4504,0.0000,0.2010,0.1732,0.0020,0.0004,0.0007
861,13.6306,0.0000,15.3041,3.7739,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0367,0.0298,0.0030,0.0026,3.7739,0.0093,0.0000,0.3532,0.0002,0.1807,0.1128,0.0006,0.0004,0.0006
862,13.6457,0.0000,14.8631,3.8525,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1357,362,0,0,867733504,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0008,0.0403,0.0322,0.0034,0.0024,3.8525,0.0142,0.0000,0.4151,0.0014,0.1890,0.1565,0.0012,0.0011,0.0005
