frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1768,20.7564,0.0500,11.6867,5.7072,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873574400,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0013,0.0457,0.0602,0.0049,0.0200,0.0710,0.0495,5.7072,0.0704,0.0000,0.9402,0.0044,0.0001,0.5277,0.0084,0.0058,0.0001
1769,20.7696,0.0500,14.0578,4.9251,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873574400,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0012,0.0377,0.0616,0.0033,0.0122,0.0482,0.0423,4.9251,0.0494,0.0000,0.8674,0.0029,0.0001,0.5107,0.0084,0.0031,0.0002
1770,20.7816,0.0500,10.1434,6.7159,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0013,0.0439,0.0664,0.0044,0.0179,0.0681,0.0451,6.7159,0.0632,0.0000,0.9058,0.0050,0.0001,0.5094,0.0089,0.0052,0.0002
1771,20.7933,0.0500,12.7463,5.5044,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0015,0.0397,0.0760,0.0035,0.0144,0.0583,0.0437,5.5044,0.0761,0.0000,0.9041,0.0041,0.0001,0.5428,0.0068,0.0048,0.0002
1772,20.8053,0.0500,11.4488,6.0901,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0013,0.0431,0.0727,0.0044,0.0167,0.0617,0.0580,6.0901,0.0735,0.0000,1.0407,0.0058,0.0001,0.5141,0.0091,0.0066,0.0004
1773,20.8189,0.0500,13.5514,6.1926,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0029,0.0385,0.0669,0.0030,0.0168,0.0631,0.0548,6.1926,0.0570,0.0000,0.8885,0.0041,0.0001,0.5249,0.0109,0.0036,0.0002
1774,20.8345,0.0500,14.2159,7.0674,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0017,0.0464,0.0703,0.0044,0.0177,0.0714,0.0455,7.0674,0.1052,0.0000,0.9018,0.0028,0.0001,0.5300,0.0111,0.0026,0.0002
1775,20.8427,0.0500,10.7077,5.0331,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0014,0.0398,0.0612,0.0045,0.0167,0.0539,0.0460,5.0331,0.0585,0.0000,0.9134,0.0036,0.0001,0.5229,0.0070,0.0050,0.0002
1776,20.8551,0.0500,10.3289,7.1922,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.386428,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0017,0.0461,0.0656,0.0045,0.0175,0.0614,0.0460,7.1922,0.0684,0.0000,0.9191,0.0042,0.0001,0.5386,0.0059,0.0034,0.0002
1777,20.8677,0.0500,13.9535,5.9930,,true,1,0.008333,0.0000,0.0083,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,322560,0,368,0,0,873578496,0.000000,0.000370,20.589899,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0023,0.0665,0.0561,0.0033,0.0186,0.2386,0.0479,5.9930,0.0708,0.0000,0.7240,0.0062,0.0001,0.3727,0.0076,0.0064,0.0001
