frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
1080,14.2828,0.0000,10.9504,4.5954,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0006,0.0389,0.0228,0.0018,0.0024,4.5954,0.0108,0.0000,0.9589,0.0002,0.1718,0.1161,0.0004,0.0003,0.0000,0.0000,0.0000
1081,14.2957,0.0000,12.2415,5.1354,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0482,0.0469,0.0052,0.0026,5.1354,0.0173,0.0000,0.8100,0.0005,0.1308,0.1390,0.0022,0.0009,0.0000,0.0000,0.0009
1082,14.3075,0.0000,12.3570,4.6714,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0020,0.0363,0.0423,0.0069,0.0065,4.6714,0.0126,0.0000,0.9749,0.0003,0.1700,0.1522,0.0011,0.0004,0.0000,0.0000,0.0004
1083,14.3185,0.0000,10.7933,4.7884,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0010,0.0376,0.0260,0.0022,0.0034,4.7884,0.0123,0.0000,0.9781,0.0004,0.1965,0.1284,0.0006,0.0004,0.0000,0.0000,0.0002
1084,14.3310,0.0000,12.4372,4.8254,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0342,0.0461,0.0022,0.0032,4.8254,0.0141,0.0000,0.7938,0.0006,0.1272,0.1272,0.0011,0.0011,0.0000,0.0000,0.0002
1085,14.3423,0.0000,11.8857,4.4413,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0008,0.0015,0.0368,0.0425,0.0022,0.0038,4.4413,0.0124,0.0000,0.7760,0.0003,0.1329,0.0959,0.0009,0.0005,0.0000,0.0000,0.0005
1086,14.3544,0.0000,11.9334,4.4191,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806342656,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0007,0.0017,0.0295,0.0498,0.0235,0.0058,4.4191,0.0093,0.0000,0.7350,0.0003,0.1233,0.1134,0.0012,0.0007,0.0000,0.0000,0.0004
1087,14.3687,0.0000,12.7391,5.9143,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806465536,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0006,0.0022,0.0648,0.0437,0.0051,0.0082,5.9143,0.0455,0.0000,0.9865,0.0003,0.1676,0.1358,0.0012,0.0004,0.0000,0.0000,0.0004
1088,14.3806,0.0000,12.9420,4.9095,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806465536,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0015,0.0393,0.0358,0.0032,0.0028,4.9095,0.0113,0.0000,0.7551,0.0005,0.1404,0.1150,0.0006,0.0011,0.0000,0.0000,0.0011
1089,14.3920,0.0000,11.3554,4.9936,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1237,362,0,0,806469632,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0375,0.0290,0.0025,0.0031,4.9936,0.0122,0.0000,0.9596,0.0004,0.1758,0.1215,0.0007,0.0004,0.0000,0.0000,0.0005
