frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1420,17.8335,0.0583,11.0014,6.4042,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868904960,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0017,0.0540,0.0663,0.0036,0.0174,0.0642,0.0543,6.4042,0.0816,0.0000,1.0200,0.0032,0.0001,0.6124,0.0085,0.0045,0.0002
1421,17.8425,0.0583,10.7797,4.7194,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868904960,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0011,0.0448,0.0669,0.0040,0.0180,0.0594,0.0384,4.7194,0.0627,0.0000,0.8769,0.0033,0.0001,0.5035,0.0082,0.0035,0.0002
1422,17.8525,0.0583,10.0012,4.6825,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868904960,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0008,0.0613,0.0476,0.0035,0.0194,0.0684,0.0384,4.6825,0.0553,0.0000,0.6704,0.0030,0.0001,0.3475,0.0070,0.0038,0.0001
1423,17.8625,0.0583,10.2195,4.6099,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868904960,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0012,0.0519,0.0634,0.0032,0.0130,0.0475,0.0486,4.6099,0.0595,0.0000,0.9222,0.0031,0.0001,0.5315,0.0063,0.0043,0.0002
1424,17.8731,0.0583,10.2993,4.7115,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868909056,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0008,0.0351,0.0490,0.0025,0.0156,0.0455,0.0410,4.7115,0.0504,0.0000,0.6439,0.0033,0.0001,0.3587,0.0059,0.0061,0.0001
1425,17.8838,0.0583,10.6249,4.7995,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868909056,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0007,0.0332,0.0574,0.0027,0.0151,0.0438,0.0373,4.7995,0.0562,0.0000,0.9668,0.0030,0.0001,0.5854,0.0318,0.0053,0.0001
1426,17.8945,0.0583,10.2854,5.1868,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868941824,0.000000,0.000352,17.320977,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0012,0.0443,0.0555,0.0032,0.0172,0.0616,0.0449,5.1868,0.0568,0.0000,0.9468,0.0100,0.0001,0.5440,0.0069,0.0061,0.0002
1427,17.9040,0.0583,9.6708,4.9945,,true,1,0.008333,0.0000,0.0083,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868941824,0.000000,0.000352,17.626095,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0015,0.0323,0.0553,0.0037,0.0211,0.2241,0.0458,4.9945,0.0573,0.0000,0.6273,0.0029,0.0001,0.3517,0.0053,0.0037,0.0001
1428,17.9154,0.0583,11.1947,4.7690,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868941824,0.000000,0.000352,17.626095,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0011,0.0514,0.0504,0.0022,0.0122,0.0437,0.0489,4.7690,0.0408,0.0000,0.8582,0.0028,0.0001,0.4804,0.0058,0.0042,0.0001
1429,17.9247,0.0583,10.0319,4.6423,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,368,368,0,0,100,0,14,14,0,0,0,368,0,0,868941824,0.000000,0.000352,17.626095,0.00,2,5,10,18,16,24,26,14,29,32,36,34,43,43,36,0,0,0,0.0014,0.0321,0.0540,0.0021,0.0126,0.0428,0.0428,4.6423,0.0536,0.0000,0.7367,0.0048,0.0001,0.4012,0.0071,0.0051,0.0001
