frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
1227,13.2687,0.0000,10.2129,4.2554,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0010,0.0375,0.0290,0.0022,0.0034,4.2554,0.0111,0.0000,0.9792,0.0003,0.1775,0.1228,0.0007,0.0003,0.0000,0.0000,0.0003
1228,13.2782,0.0000,9.2000,4.5475,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0015,0.0405,0.0486,0.0054,0.0054,4.5475,0.0110,0.0000,0.9905,0.0002,0.1681,0.1442,0.0013,0.0002,0.0000,0.0000,0.0003
1229,13.2878,0.0000,9.3552,4.7988,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0401,0.0322,0.0098,0.0027,4.7988,0.0160,0.0000,0.9680,0.0001,0.1687,0.1589,0.0007,0.0002,0.0000,0.0000,0.0006
1230,13.2970,0.0000,8.8137,5.1715,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0008,0.0448,0.0428,0.0050,0.0025,5.1715,0.0115,0.0000,0.9494,0.0004,0.1780,0.1310,0.0007,0.0008,0.0000,0.0000,0.0003
1231,13.3048,0.0000,8.6202,4.2528,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0401,0.0255,0.0021,0.0030,4.2528,0.0095,0.0000,0.9396,0.0004,0.1669,0.1265,0.0009,0.0005,0.0000,0.0000,0.0003
1232,13.3152,0.0000,8.9451,5.4687,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0020,0.0282,0.0534,0.0057,0.0069,5.4687,0.0083,0.0000,1.1759,0.0002,0.1246,0.0923,0.0011,0.0003,0.0000,0.0000,0.0002
1233,13.3262,0.0000,11.8635,4.8359,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0014,0.0397,0.0437,0.0059,0.0041,4.8359,0.0114,0.0000,0.9540,0.0005,0.1719,0.1188,0.0010,0.0005,0.0000,0.0000,0.0003
1234,13.3354,0.0000,8.9304,5.2479,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0012,0.0419,0.0270,0.0028,0.0034,5.2479,0.0143,0.0000,0.9619,0.0004,0.1735,0.1338,0.0008,0.0006,0.0000,0.0000,0.0003
1235,13.3435,0.0000,8.7156,4.5834,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0010,0.0378,0.0351,0.0038,0.0047,4.5834,0.0148,0.0000,0.9534,0.0004,0.1569,0.1520,0.0008,0.0003,0.0000,0.0000,0.0002
1236,13.3527,0.0000,8.5958,5.1118,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804319232,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0414,0.0349,0.0026,0.0037,5.1118,0.0186,0.0000,0.9862,0.0007,0.1712,0.1337,0.0018,0.0005,0.0000,0.0000,0.0004
1237,13.3664,0.0000,11.6176,7.0817,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0006,0.0011,0.0717,0.0453,0.0053,0.0053,7.0817,0.0127,0.0000,0.7457,0.0007,0.1233,0.1144,0.0013,0.0007,0.0000,0.0000,0.0006
1238,13.3766,0.0000,11.4377,5.7196,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0016,0.0613,0.0405,0.0052,0.0054,5.7196,0.0227,0.0000,1.0673,0.0008,0.1909,0.1590,0.0013,0.0009,0.0000,0.0000,0.0007
1239,13.3871,0.0000,10.7586,5.6476,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0011,0.0510,0.0387,0.0031,0.0019,5.6476,0.0185,0.0000,1.3452,0.0003,0.2455,0.1017,0.0010,0.0009,0.0000,0.0000,0.0010
1240,13.3979,0.0000,10.2604,6.2403,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0008,0.0311,0.0283,0.0032,0.0033,6.2403,0.0255,0.0000,0.7592,0.0002,0.1405,0.1016,0.0009,0.0004,0.0000,0.0000,0.0007
1241,13.4084,0.0000,10.6267,5.9324,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0012,0.0508,0.0405,0.0044,0.0050,5.9324,0.0179,0.0000,1.0193,0.0006,0.1744,0.1693,0.0015,0.0006,0.0000,0.0000,0.0006
1242,13.4172,0.0000,9.5975,4.8971,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0025,0.0338,0.0511,0.0072,0.0063,4.8971,0.0092,0.0000,1.0208,0.0003,0.1664,0.1691,0.0014,0.0002,0.0000,0.0000,0.0002
1243,13.4290,0.0000,12.2400,4.9170,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0013,0.0012,0.0376,0.0358,0.0043,0.0026,4.9170,0.0073,0.0000,0.9993,0.0004,0.1325,0.1016,0.0009,0.0005,0.0000,0.0000,0.0006
1244,13.4368,0.0000,8.4193,4.2495,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0005,0.0008,0.0291,0.0365,0.0039,0.0033,4.2495,0.0070,0.0000,0.7026,0.0001,0.1211,0.1052,0.0002,0.0002,0.0000,0.0000,0.0001
1245,13.4483,0.0000,11.0462,4.6474,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804323328,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0011,0.0448,0.0470,0.0026,0.0031,4.6474,0.0113,0.0000,1.0052,0.0002,0.1807,0.1295,0.0007,0.0004,0.0000,0.0000,0.0002
1246,13.4578,0.0000,9.9653,4.2207,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0010,0.0515,0.0212,0.0013,0.0033,4.2207,0.0655,0.0000,1.0729,0.0005,0.2169,0.1338,0.0013,0.0008,0.0000,0.0000,0.0004
1247,13.4672,0.0000,9.2674,4.4957,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0010,0.0265,0.0440,0.0027,0.0039,4.4957,0.0089,0.0000,0.7124,0.0006,0.1263,0.1061,0.0010,0.0001,0.0000,0.0000,0.0003
