frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1592,19.9547,0.0000,11.1144,3.1307,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852635648,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0008,0.0165,0.0616,0.0006,0.0027,0.0056,3.1307,0.0167,0.0000,0.3750,0.0005,0.0002,0.1266,0.0017,0.0013,0.0010
1593,19.9665,0.0000,10.9723,3.9332,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852635648,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0005,0.0204,0.0337,0.0012,0.0039,0.0061,3.9332,0.0165,0.0000,0.4858,0.0006,0.0010,0.1665,0.0025,0.0016,0.0005
1594,19.9774,0.0000,11.6434,3.4215,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852635648,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0218,0.0239,0.0004,0.0017,0.0045,3.4215,0.0205,0.0000,0.3910,0.0004,0.0007,0.1364,0.0015,0.0008,0.0006
1595,19.9881,0.0000,10.6882,3.2654,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0001,0.0158,0.0372,0.0006,0.0015,0.0040,3.2654,0.0179,0.0000,0.3536,0.0004,0.0002,0.1270,0.0013,0.0012,0.0006
1596,19.9978,0.0000,10.2188,3.0021,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0005,0.0104,0.0162,0.0003,0.0023,0.0042,3.0021,0.0089,0.0000,0.2235,0.0006,0.0003,0.0837,0.0009,0.0005,0.0004
1597,20.0094,0.0000,11.1044,3.4511,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0174,0.0351,0.0007,0.0035,0.0060,3.4511,0.0185,0.0000,0.3759,0.0005,0.0002,0.1606,0.0011,0.0011,0.0005
1598,20.0192,0.0000,10.4245,2.8899,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0003,0.0229,0.0366,0.0005,0.0017,0.0047,2.8899,0.0145,0.0000,0.3300,0.0002,0.0003,0.1200,0.0014,0.0010,0.0008
1599,20.0302,0.0000,10.6847,3.2360,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0003,0.0164,0.0371,0.0007,0.0026,0.0046,3.2360,0.0152,0.0000,0.3507,0.0006,0.0002,0.1277,0.0010,0.0007,0.0010
1600,20.0409,0.0000,10.6856,2.9259,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0154,0.0339,0.0009,0.0030,0.0048,2.9259,0.0172,0.0000,0.3679,0.0006,0.0004,0.1356,0.0009,0.0014,0.0006
1601,20.0526,0.0000,11.1161,3.1841,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,852639744,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0002,0.0240,0.0377,0.0010,0.0029,0.0052,3.1841,0.0172,0.0000,0.3672,0.0008,0.0005,0.1349,0.0011,0.0009,0.0009
