frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
681,10.4140,0.0000,16.3270,4.4337,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862715904,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0010,0.0251,0.0444,0.0021,0.0041,0.0061,4.4337,0.0189,0.0000,0.4149,0.0006,0.0006,0.1548,0.0014,0.0007,0.0006
682,10.4304,0.0000,16.1914,4.2380,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862715904,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0009,0.0274,0.0363,0.0013,0.0048,0.0060,4.2380,0.0226,0.0000,0.3747,0.0005,0.0006,0.1388,0.0015,0.0012,0.0009
683,10.4476,0.0000,16.1775,4.5343,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862715904,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0005,0.0417,0.0404,0.0029,0.0063,0.0061,4.5343,0.0176,0.0000,0.4260,0.0008,0.0003,0.1446,0.0015,0.0011,0.0009
684,10.4646,0.0000,16.7892,4.8838,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862715904,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0008,0.0300,0.0891,0.0013,0.0031,0.0070,4.8838,0.0241,0.0000,0.4668,0.0007,0.0005,0.1838,0.0017,0.0012,0.0006
685,10.4811,0.0000,17.3582,4.6829,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862715904,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0200,0.0440,0.0011,0.0030,0.0053,4.6829,0.0190,0.0000,0.4330,0.0011,0.0004,0.1998,0.0012,0.0009,0.0007
686,10.4980,0.0000,17.9860,5.1470,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862715904,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0225,0.0593,0.0022,0.0048,0.0079,5.1470,0.0285,0.0000,0.4283,0.0009,0.0003,0.1663,0.0013,0.0008,0.0006
687,10.5151,0.0000,16.4886,5.4583,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862720000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0254,0.0413,0.0012,0.0025,0.0062,5.4583,0.0152,0.0000,0.4452,0.0007,0.0004,0.1859,0.0012,0.0009,0.0006
688,10.5318,0.0000,16.7780,5.3464,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862720000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0008,0.0250,0.1434,0.0025,0.0043,0.0084,5.3464,0.0191,0.0000,0.4206,0.0008,0.0008,0.1653,0.0018,0.0009,0.0014
689,10.5487,0.0000,17.0785,5.6301,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862720000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0383,0.0476,0.0023,0.0063,0.0106,5.6301,0.0248,0.0000,0.4502,0.0005,0.0006,0.1747,0.0018,0.0010,0.0006
690,10.5637,0.0000,16.1302,4.0826,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,862720000,0.000000,0.000000,0.000000,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0006,0.0185,0.0427,0.0010,0.0029,0.0069,4.0826,0.0181,0.0000,0.4266,0.0011,0.0005,0.1763,0.0016,0.0012,0.0007
