frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
718,12.4602,0.0083,16.2709,6.6442,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821211136,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0021,0.0131,0.0849,0.0878,0.0288,0.0617,0.0664,6.6442,0.0730,0.0000,0.9744,0.0034,0.0001,0.5603,0.0041,0.0042,0.0002
719,12.4748,0.0083,14.9724,6.5732,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821211136,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0048,0.0124,0.0649,0.1153,0.0219,0.0439,0.0450,6.5732,0.0784,0.0000,0.8655,0.0046,0.0001,0.4865,0.0069,0.0041,0.0001
720,12.4909,0.0083,15.2404,7.3988,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821211136,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0026,0.0121,0.0707,0.0956,0.0270,0.0757,0.0443,7.3988,0.0774,0.0000,0.9239,0.0031,0.0001,0.5474,0.0056,0.0037,0.0002
721,12.5067,0.0083,15.6948,7.1710,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821211136,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0022,0.0126,0.0672,0.1080,0.0257,0.0548,0.0461,7.1710,0.0658,0.0000,0.9818,0.0038,0.0001,0.5653,0.0087,0.0049,0.0002
722,12.5213,0.0083,14.8440,7.1227,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821215232,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0008,0.0110,0.0905,0.1188,0.0259,0.0654,0.0445,7.1227,0.0763,0.0000,1.0651,0.0037,0.0001,0.6660,0.0082,0.0052,0.0002
723,12.5354,0.0083,14.6515,6.8515,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821215232,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0020,0.0215,0.0713,0.0977,0.0247,0.0387,0.0458,6.8515,0.0719,0.0000,1.0193,0.0059,0.0001,0.5609,0.0047,0.0076,0.0002
724,12.5509,0.0083,15.6612,6.4569,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821215232,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0013,0.0125,0.0687,0.0940,0.0268,0.0657,0.0434,6.4569,0.0670,0.0000,0.9609,0.0024,0.0001,0.5764,0.0081,0.0035,0.0002
725,12.5726,0.0083,18.5753,9.3872,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821215232,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0040,0.0178,0.0879,0.1398,0.0417,0.0859,0.0446,9.3872,0.1811,0.0000,1.0982,0.0032,0.0001,0.7426,0.0066,0.0051,0.0001
726,12.5885,0.0083,16.7164,8.3340,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821215232,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0022,0.0132,0.0670,0.1253,0.0333,0.0956,0.0461,8.3340,0.0703,0.0000,1.0093,0.0050,0.0001,0.5561,0.0089,0.0058,0.0002
727,12.6025,0.0083,15.3092,7.2201,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,327168,0,382,0,0,821215232,0.000000,0.000134,11.933577,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0023,0.0145,0.0701,0.1193,0.0277,0.0664,0.0494,7.2201,0.0741,0.0000,1.0879,0.0053,0.0001,0.5561,0.0098,0.0066,0.0009
