frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
349,6.3471,0.0000,19.0411,4.1198,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915124224,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0013,0.0342,0.0327,0.0038,0.0000,0.0031,4.1198,0.0096,0.0000,0.1727,0.0003,0.0002,0.1113,0.0007,0.0003,0.0000,0.0000,0.0004
350,6.3644,0.0000,17.7272,3.6701,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0010,0.0403,0.0352,0.0033,0.0000,0.0022,3.6701,0.0097,0.0000,0.1879,0.0003,0.0002,0.1280,0.0007,0.0003,0.0000,0.0000,0.0004
351,6.3833,0.0000,18.7463,3.8905,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0347,0.0307,0.0035,0.0000,0.0028,3.8905,0.0105,0.0000,0.1693,0.0003,0.0002,0.1096,0.0006,0.0003,0.0000,0.0000,0.0006
352,6.4017,0.0000,17.6833,4.3377,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0011,0.0428,0.0349,0.0036,0.0000,0.0025,4.3377,0.0118,0.0000,0.1869,0.0004,0.0003,0.1141,0.0007,0.0004,0.0000,0.0000,0.0009
353,6.4186,0.0000,17.4258,4.1275,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0393,0.0350,0.0040,0.0000,0.0026,4.1275,0.0098,0.0000,0.1917,0.0002,0.0002,0.1289,0.0006,0.0003,0.0000,0.0000,0.0006
354,6.4372,0.0000,18.7082,4.0115,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0414,0.0369,0.0037,0.0000,0.0028,4.0115,0.0113,0.0000,0.1775,0.0003,0.0002,0.1164,0.0006,0.0004,0.0000,0.0000,0.0007
355,6.4559,0.0000,18.6352,4.1519,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0399,0.0514,0.0042,0.0000,0.0026,4.1519,0.0098,0.0000,0.1820,0.0004,0.0002,0.1153,0.0008,0.0004,0.0000,0.0000,0.0004
356,6.4765,0.0000,19.6555,5.2722,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0384,0.0366,0.0043,0.0000,0.0030,5.2722,0.0119,0.0000,0.1791,0.0005,0.0002,0.1107,0.0009,0.0004,0.0000,0.0000,0.0006
357,6.4926,0.0000,17.1183,3.8276,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0370,0.0345,0.0038,0.0000,0.0035,3.8276,0.0097,0.0000,0.1884,0.0002,0.0002,0.1220,0.0009,0.0002,0.0000,0.0000,0.0003
358,6.5112,0.0000,18.5631,3.7750,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0015,0.0488,0.0285,0.0039,0.0000,0.0032,3.7750,0.0119,0.0000,0.2244,0.0006,0.0002,0.1458,0.0012,0.0006,0.0000,0.0000,0.0006
359,6.5287,0.0000,17.9505,3.5332,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0245,0.0293,0.0023,0.0000,0.0029,3.5332,0.0089,0.0000,0.1359,0.0003,0.0002,0.0888,0.0005,0.0004,0.0000,0.0000,0.0005
360,6.5460,0.0000,17.8750,3.0778,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0006,0.0493,0.0238,0.0019,0.0000,0.0016,3.0778,0.0120,0.0000,0.1322,0.0002,0.0002,0.0906,0.0009,0.0003,0.0000,0.0000,0.0003
361,6.5642,0.0000,17.8193,3.3796,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0010,0.0477,0.0269,0.0017,0.0000,0.0045,3.3796,0.0099,0.0000,0.1739,0.0002,0.0002,0.1107,0.0005,0.0004,0.0000,0.0000,0.0003
362,6.5818,0.0000,17.3115,3.5859,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0008,0.0010,0.0361,0.0316,0.0030,0.0000,0.0048,3.5859,0.0120,0.0000,0.1755,0.0003,0.0002,0.1159,0.0008,0.0004,0.0000,0.0000,0.0005
363,6.6005,0.0000,18.5581,3.8393,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0323,0.0314,0.0035,0.0000,0.0024,3.8393,0.0092,0.0000,0.1665,0.0003,0.0003,0.1108,0.0008,0.0003,0.0000,0.0000,0.0004
364,6.6174,0.0000,16.6457,4.1183,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0457,0.0406,0.0025,0.0000,0.0024,4.1183,0.0122,0.0000,0.2178,0.0003,0.0002,0.1470,0.0008,0.0005,0.0000,0.0000,0.0004
365,6.6345,0.0000,17.2404,3.9880,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0010,0.0448,0.0344,0.0035,0.0000,0.0032,3.9880,0.0103,0.0000,0.1749,0.0004,0.0002,0.1137,0.0010,0.0005,0.0000,0.0000,0.0004
366,6.6513,0.0000,17.4531,3.6080,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0005,0.0016,0.0377,0.0491,0.0071,0.0000,0.0099,3.6080,0.0111,0.0000,0.2862,0.0007,0.0006,0.1550,0.0032,0.0008,0.0000,0.0000,0.0008
367,6.6681,0.0000,16.1821,3.7384,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0014,0.0340,0.0346,0.0039,0.0000,0.0028,3.7384,0.0110,0.0000,0.1628,0.0002,0.0002,0.1092,0.0008,0.0003,0.0000,0.0000,0.0004
368,6.6857,0.0000,17.5875,3.8804,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915132416,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0014,0.0412,0.0363,0.0037,0.0000,0.0040,3.8804,0.0113,0.0000,0.1936,0.0002,0.0002,0.1330,0.0009,0.0006,0.0000,0.0000,0.0004
369,6.7022,0.0000,16.9096,3.4359,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0013,0.0256,0.0279,0.0022,0.0000,0.0022,3.4359,0.0074,0.0000,0.1419,0.0002,0.0003,0.0938,0.0006,0.0003,0.0000,0.0000,0.0003
370,6.7197,0.0000,17.4539,3.5202,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0005,0.0378,0.0237,0.0020,0.0000,0.0019,3.5202,0.0091,0.0000,0.1234,0.0001,0.0002,0.0838,0.0007,0.0001,0.0000,0.0000,0.0002
371,6.7370,0.0000,17.7419,3.4434,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0007,0.0273,0.0213,0.0019,0.0000,0.0024,3.4434,0.0067,0.0000,0.1258,0.0001,0.0000,0.0861,0.0005,0.0005,0.0000,0.0000,0.0002
372,6.7542,0.0000,16.0754,4.1469,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0019,0.0473,0.0298,0.0055,0.0000,0.0064,4.1469,0.0180,0.0000,0.2180,0.0003,0.0002,0.1372,0.0011,0.0004,0.0000,0.0000,0.0004
373,6.7734,0.0000,19.6672,3.7229,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0011,0.0445,0.0221,0.0023,0.0000,0.0029,3.7229,0.0204,0.0000,0.1800,0.0003,0.0002,0.1136,0.0009,0.0005,0.0000,0.0000,0.0004
374,6.7908,0.0000,17.2798,3.8191,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0011,0.0544,0.0295,0.0026,0.0000,0.0036,3.8191,0.0093,0.0000,0.1499,0.0003,0.0002,0.0950,0.0006,0.0006,0.0000,0.0000,0.0004
375,6.8073,0.0000,16.7201,3.7320,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0007,0.0307,0.0453,0.0044,0.0000,0.0019,3.7320,0.0078,0.0000,0.1408,0.0002,0.0002,0.0867,0.0005,0.0003,0.0000,0.0000,0.0005
376,6.8272,0.0000,19.7176,4.0511,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0020,0.0362,0.0585,0.0059,0.0000,0.0073,4.0511,0.0103,0.0000,0.1784,0.0003,0.0007,0.1181,0.0008,0.0003,0.0000,0.0000,0.0006
377,6.8433,0.0000,16.3484,3.6326,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915136512,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0010,0.0389,0.0346,0.0035,0.0000,0.0024,3.6326,0.0118,0.0000,0.1803,0.0003,0.0002,0.1174,0.0007,0.0005,0.0000,0.0000,0.0005
378,6.8611,0.0000,17.0060,4.0626,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915140608,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0012,0.0457,0.0371,0.0039,0.0000,0.0034,4.0626,0.0117,0.0000,0.1654,0.0003,0.0003,0.1004,0.0010,0.0006,0.0000,0.0000,0.0004
379,6.8785,0.0000,17.8880,3.9247,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915140608,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0015,0.0604,0.0314,0.0037,0.0000,0.0041,3.9247,0.0222,0.0000,0.2540,0.0004,0.0001,0.1704,0.0007,0.0004,0.0000,0.0000,0.0004
380,6.8953,0.0000,17.1976,3.5363,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915140608,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0439,0.0320,0.0030,0.0000,0.0028,3.5363,0.0085,0.0000,0.1708,0.0002,0.0002,0.1167,0.0006,0.0004,0.0000,0.0000,0.0004
381,6.9115,0.0000,16.5617,3.3334,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915161088,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0013,0.0294,0.0351,0.0038,0.0000,0.0037,3.3334,0.0058,0.0000,0.1413,0.0003,0.0001,0.0789,0.0006,0.0003,0.0000,0.0000,0.0003
382,6.9294,0.0000,17.4405,3.5982,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915161088,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0471,0.0414,0.0032,0.0000,0.0020,3.5982,0.0092,0.0000,0.1721,0.0004,0.0002,0.1079,0.0008,0.0004,0.0000,0.0000,0.0004
383,6.9455,0.0000,16.2489,3.6190,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915161088,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0012,0.0353,0.0357,0.0035,0.0000,0.0033,3.6190,0.0101,0.0000,0.1850,0.0003,0.0002,0.1151,0.0007,0.0004,0.0000,0.0000,0.0005
384,6.9622,0.0000,17.5939,2.6459,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915161088,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0006,0.0302,0.0373,0.0018,0.0000,0.0026,2.6459,0.0070,0.0000,0.1276,0.0002,0.0002,0.0829,0.0005,0.0003,0.0000,0.0000,0.0003
385,6.9805,0.0000,17.3950,3.4717,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915161088,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0008,0.0316,0.0278,0.0041,0.0000,0.0027,3.4717,0.0087,0.0000,0.1311,0.0002,0.0002,0.0846,0.0005,0.0005,0.0000,0.0000,0.0003
386,7.0011,0.0000,15.8984,8.2525,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915161088,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0006,0.0310,0.0219,0.0018,0.0000,0.0030,8.2525,0.0109,0.0000,4.2734,0.0002,0.1217,0.1021,0.5357,0.0003,0.0000,0.0000,3.4706
387,7.0124,0.0000,16.0991,3.3726,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915165184,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0423,0.0390,0.0045,0.0000,0.0042,3.3726,0.0149,0.0000,0.2044,0.0003,0.0002,0.1371,0.0010,0.0005,0.0000,0.0000,0.0006
388,7.0294,0.0000,16.5375,3.9213,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915165184,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0434,0.0396,0.0048,0.0000,0.0048,3.9213,0.0213,0.0000,0.2340,0.0003,0.0002,0.1583,0.0017,0.0004,0.0000,0.0000,0.0006
