frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms
28052,389.4913,2870.7333,10.1190,6.1531,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.1531,0.0791,0.0000,0.9383
28053,389.5024,2870.7333,11.2935,6.2575,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.2575,0.0306,0.0000,0.9000
28054,389.5131,2870.7333,10.7971,6.1602,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.1602,0.0445,0.0000,0.7853
28055,389.5245,2870.7333,9.7888,5.6912,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.6912,0.0515,0.0000,0.9330
28056,389.5342,2870.7333,11.2940,6.3470,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.3470,0.0434,0.0000,0.9244
28057,389.5440,2870.7333,10.1978,5.9635,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.9635,0.0320,0.0000,0.8386
28058,389.5533,2870.7333,9.8184,5.3670,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.3670,0.0416,0.0000,0.9709
28059,389.5636,2870.7333,9.9344,5.7654,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.7654,0.0290,0.0000,0.8340
28060,389.5731,2870.7333,9.6204,5.6645,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.6645,0.0305,0.0000,0.8205
28061,389.5833,2870.7333,9.8149,6.0397,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.0397,0.0404,0.0000,0.8219
28062,389.5957,2870.7333,11.6188,6.5069,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.5069,0.0399,0.0000,1.1034
28063,389.6070,2870.7333,12.0276,5.9925,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.9925,0.0760,0.0000,0.7807
28064,389.6165,2870.7333,10.0200,5.5595,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.5595,0.0333,0.0000,0.7781
28065,389.6263,2870.7333,9.2158,6.0617,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.0617,0.0393,0.0000,0.9538
28066,389.6364,2870.7333,10.1807,6.0924,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.0924,0.0374,0.0000,0.8383
28067,389.6455,2870.7333,9.8399,5.4151,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.4151,0.0305,0.0000,0.8477
28068,389.6569,2870.7333,11.0437,5.6670,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.6670,0.0627,0.0000,0.9878
28069,389.6664,2870.7333,9.3284,5.8580,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.8580,0.0347,0.0000,0.8464
28070,389.6775,2870.7333,9.6960,7.0245,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,7.0245,0.0791,0.0000,0.8390
28071,389.6886,2870.7333,11.3555,6.6803,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.6803,0.0873,0.0000,0.8713
28072,389.7221,2870.7333,11.4247,28.9885,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,28.9885,0.0320,0.0000,25.2139
28073,389.7260,2870.7333,10.4719,3.3161,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,3.3161,0.0515,0.0000,0.7012
28074,389.7340,2870.7333,25.5458,4.9916,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,4.9916,0.0583,0.0000,0.9551
28075,389.7446,2870.7333,10.3049,4.9477,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,4.9477,0.0253,0.0000,0.6662
28076,389.7556,2870.7333,10.9006,5.2444,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.2444,0.0500,0.0000,0.6498
28077,389.7663,2870.7333,10.1153,6.0714,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.0714,0.0478,0.0000,0.7780
28078,389.7741,2870.7333,8.5704,5.3058,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.3058,0.0314,0.0000,0.9664
28079,389.7855,2870.7333,11.0274,5.4999,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.4999,0.0714,0.0000,0.8513
28080,389.7948,2870.7333,9.4639,5.1873,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.1873,0.0350,0.0000,0.8023
28081,389.8051,2870.7333,10.2880,5.2919,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.2919,0.0345,0.0000,0.7513
28082,389.8158,2870.7333,9.6558,6.3989,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.3989,0.0359,0.0000,0.7587
28083,389.8253,2870.7333,10.1727,5.7493,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.7493,0.0278,0.0000,0.9169
28084,389.8358,2870.7333,10.5528,5.5650,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.5650,0.0407,0.0000,0.8131
28085,389.8455,2870.7333,9.6339,5.8035,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.8035,0.0301,0.0000,0.7229
28086,389.8545,2870.7333,9.5188,5.1750,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.1750,0.0315,0.0000,0.7512
28087,389.8646,2870.7333,9.7946,5.4960,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.4960,0.0297,0.0000,0.8389
28088,389.8738,2870.7333,9.3937,5.5322,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.5322,0.0364,0.0000,0.8464
28089,389.8836,2870.7333,9.0801,6.0390,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.0390,0.0364,0.0000,1.0518
28090,389.8948,2870.7333,11.1452,5.7982,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.7982,0.0514,0.0000,0.9221
28091,389.9050,2870.7333,10.3832,5.9877,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.9877,0.0369,0.0000,0.7614
28092,389.9158,2870.7333,10.4252,6.2029,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.2029,0.0771,0.0000,0.9200
28093,389.9263,2870.7333,10.2878,6.4462,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.4462,0.0369,0.0000,0.9310
28094,389.9368,2870.7333,10.5655,6.5435,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.5435,0.0499,0.0000,0.8391
28095,389.9461,2870.7333,10.3530,5.3960,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.3960,0.0442,0.0000,0.7353
28096,389.9573,2870.7333,11.0169,4.9752,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,4.9752,0.0540,0.0000,0.8992
28097,389.9688,2870.7333,9.7609,7.3829,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,7.3829,0.0665,0.0000,1.0672
28098,389.9779,2870.7333,11.3344,5.0251,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,5.0251,0.0339,0.0000,0.8434
28099,389.9888,2870.7333,9.2570,6.8336,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,230,0,529920,59839,568,0,0,937713664,6.8336,0.0418,0.0000,0.8292
