frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
1237,17.0550,16.7917,12.9440,3.5219,,true,1,0.008333,0.0945,0.0083,1.00,0.64,5.0264,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0001,0.0012,0.0397,0.0213,0.0022,0.0948,0.0038,3.5219,0.0172,0.0945,0.2450,0.0002,0.0003,0.1449,0.0015,0.0004,0.0000,0.0000,0.0003
1238,17.0680,16.8083,12.4160,4.0642,,true,2,0.008333,0.1176,0.0167,1.00,1.00,0.7757,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0002,0.0013,0.0391,0.8694,0.0028,0.1179,0.0030,4.0642,0.0139,0.1176,0.2249,0.0004,0.0002,0.1329,0.0011,0.0006,0.0000,0.0000,0.0008
1239,17.0790,16.8167,11.9521,3.1021,,true,1,0.008333,0.0840,0.0083,1.00,0.70,4.3945,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0002,0.0007,0.0499,0.0220,0.0025,0.0844,0.0017,3.1021,0.0141,0.0840,0.1774,0.0002,0.0002,0.1028,0.0006,0.0003,0.0000,0.0000,0.0002
1240,17.0922,16.8333,13.1839,3.4256,,true,2,0.008333,0.1715,0.0167,1.00,1.00,0.9118,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0002,0.0006,0.0344,0.0201,0.0021,0.1721,0.0020,3.4256,0.0137,0.1715,0.2004,0.0005,0.0000,0.1180,0.0012,0.0006,0.0000,0.0000,0.0004
1241,17.1057,16.8417,12.5676,4.3652,,true,1,0.008333,0.1568,0.0083,1.00,0.66,5.1460,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0002,0.0009,0.0420,0.8800,0.0060,0.1571,0.0044,4.3652,0.0227,0.1568,0.2297,0.0002,0.0006,0.1268,0.0015,0.0006,0.0000,0.0000,0.0007
1242,17.1175,16.8583,12.7415,3.4745,,true,2,0.008333,0.1583,0.0167,1.00,1.00,1.2209,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0002,0.0008,0.0377,0.0207,0.0022,0.1591,0.0032,3.4745,0.0099,0.1583,0.2078,0.0004,0.0002,0.1197,0.0010,0.0004,0.0000,0.0000,0.0006
1243,17.1300,16.8667,12.5277,3.4514,,true,1,0.008333,0.0939,0.0083,1.00,0.67,5.4152,22,1,382,382,0,421,521,0,14,14,0,0,0,2011,0,0,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0003,0.0010,0.0393,0.0175,0.0016,0.0946,0.0032,3.4514,0.0105,0.0939,0.2100,0.0004,0.0002,0.1161,0.0010,0.0005,0.0000,0.0000,0.0005
1244,17.1497,16.8833,13.0736,9.9634,,true,2,0.008333,0.1257,0.0167,1.00,1.00,1.8222,22,1,382,382,8,421,521,0,14,15,0,0,0,2019,23,40,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0001,0.0015,0.0737,0.8864,0.0041,0.1259,0.0047,9.9634,0.0386,0.1257,4.6271,0.0003,0.1287,0.1311,0.0025,0.0008,0.0000,0.0000,4.1892
1245,17.1595,16.8917,14.6748,4.9839,,true,1,0.008333,0.1988,0.0083,1.00,0.57,8.1637,22,1,382,382,8,376,476,0,14,15,6,0,0,2025,17,40,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0003,0.0014,0.0573,0.0279,0.0028,0.1993,0.0064,4.9839,0.0206,0.1988,0.6771,0.0255,0.2144,0.1769,0.0020,0.0095,0.0000,26.5548,0.0004
1246,17.1740,16.9083,14.6849,4.8762,,true,2,0.008333,0.1225,0.0167,1.00,1.00,6.1819,22,1,382,382,8,372,472,0,14,15,8,0,0,2033,9,40,813596672,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,23,8,33,44,50,43,42,40,0,0,0,0.0002,0.0013,0.0436,0.0359,0.0060,0.1229,0.0049,4.8762,0.0143,0.1225,0.5313,0.0254,0.1517,0.1287,0.0009,0.0060,0.0000,38.8334,0.0005
