frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
797,13.1704,0.0583,14.3022,7.3742,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0010,0.0109,0.0751,0.1023,0.0275,0.0675,0.0518,7.3742,0.0676,0.0000,1.6045,0.0021,0.0001,0.6591,0.0089,0.0037,0.0000,0.0000,0.0002
798,13.1853,0.0583,14.5240,7.8212,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0022,0.0139,0.0846,0.1309,0.0303,0.0631,0.0533,7.8212,0.0625,0.0000,1.6098,0.0027,0.0001,0.6573,0.0087,0.0047,0.0000,0.0000,0.0002
799,13.1988,0.0583,13.7720,7.5802,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0022,0.0156,0.0818,0.1097,0.0224,0.0595,0.0551,7.5802,0.0766,0.0000,1.3449,0.0038,0.0001,0.4936,0.0091,0.0057,0.0000,0.0000,0.0002
800,13.2133,0.0583,14.1429,7.9097,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0036,0.0147,0.0847,0.1317,0.0290,0.0593,0.0478,7.9097,0.0878,0.0000,1.6885,0.0036,0.0001,0.6794,0.0105,0.0052,0.0000,0.0000,0.0002
801,13.2286,0.0583,15.1682,7.9998,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0066,0.0174,0.0887,0.1246,0.0320,0.0613,0.0598,7.9998,0.0837,0.0000,1.6187,0.0032,0.0001,0.6546,0.0088,0.0050,0.0000,0.0000,0.0002
802,13.2427,0.0583,14.1372,7.8335,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0039,0.0160,0.0684,0.1029,0.0281,0.0740,0.0602,7.8335,0.0797,0.0000,1.6992,0.0031,0.0001,0.6792,0.0086,0.0058,0.0000,0.0000,0.0002
803,13.2581,0.0583,14.2657,8.9246,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0034,0.0178,0.0796,0.1614,0.0394,0.0991,0.0526,8.9246,0.0808,0.0000,1.6815,0.0033,0.0002,0.6701,0.0110,0.0045,0.0000,0.0000,0.0002
804,13.2718,0.0583,14.3888,8.4996,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0029,0.0172,0.0850,0.1914,0.0280,0.0589,0.0730,8.4996,0.0687,0.0000,1.6049,0.0035,0.0002,0.6516,0.0068,0.0053,0.0000,0.0000,0.0002
805,13.2854,0.0583,14.7149,7.2973,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791687168,0.000000,0.001025,12.592830,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0021,0.0141,0.0608,0.1436,0.0359,0.0655,0.0408,7.2973,0.0652,0.0000,1.2981,0.0032,0.0001,0.5145,0.0091,0.0049,0.0000,0.0000,0.0001
806,13.2995,0.0583,13.9048,7.5135,,true,1,0.008333,0.0000,0.0083,1.00,0.00,0.0000,22,1,382,382,0,0,100,0,15,15,0,0,0,382,0,0,791691264,0.000000,0.001025,12.897506,0.00,2,7,10,18,16,25,21,20,22,28,38,28,36,36,39,36,0,0,0.0019,0.0143,0.0729,0.1141,0.0278,0.2211,0.0551,7.5135,0.0589,0.0000,1.6357,0.0032,0.0002,0.6822,0.0070,0.0042,0.0000,0.0000,0.0002
