frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
2104,21.9615,0.0583,10.9918,5.1848,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.491381,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0011,0.0571,0.0584,0.0043,0.0206,0.0615,0.0498,5.1848,0.0768,0.0000,0.6138,0.0058,0.0001,0.2611,0.0097,0.0303,0.0001
2105,21.9718,0.0583,10.9318,4.9246,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.491381,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0011,0.0397,0.0613,0.0043,0.0186,0.0543,0.0563,4.9246,0.0874,0.0000,0.7501,0.0042,0.0001,0.4081,0.0073,0.0044,0.0002
2106,21.9824,0.0583,10.2283,5.3386,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.491381,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0371,0.0676,0.0037,0.0190,0.0486,0.1036,5.3386,0.0666,0.0000,0.7662,0.0042,0.0001,0.4142,0.0101,0.0067,0.0001
2107,21.9944,0.0583,11.1614,5.9029,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.491381,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0026,0.0445,0.0795,0.0046,0.0215,0.0822,0.0587,5.9029,0.0770,0.0000,0.7618,0.0049,0.0001,0.4122,0.0095,0.0050,0.0001
2108,22.0045,0.0583,10.1084,5.8699,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.491381,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0010,0.0429,0.0691,0.0052,0.0236,0.0563,0.0475,5.8699,0.0457,0.0000,0.7338,0.0043,0.0001,0.4094,0.0070,0.0044,0.0002
2109,22.0127,0.0583,9.8305,4.5732,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.491381,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0431,0.0743,0.0039,0.0166,0.0561,0.0467,4.5732,0.0688,0.0000,0.7513,0.0032,0.0001,0.4116,0.0079,0.0044,0.0002
2110,22.0225,0.0583,9.4156,4.9493,,true,1,0.008333,0.0000,0.0083,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0374,0.0951,0.0025,0.0163,0.2103,0.0445,4.9493,0.0779,0.0000,0.7532,0.0046,0.0001,0.4127,0.0075,0.0049,0.0002
2111,22.0345,0.0583,10.1771,6.5032,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0019,0.0585,0.0812,0.0049,0.0318,0.0660,0.0612,6.5032,0.0653,0.0000,0.9292,0.0047,0.0001,0.4580,0.0094,0.0041,0.0002
2112,22.0460,0.0583,11.9195,5.8769,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0476,0.0607,0.0046,0.0225,0.0528,0.0512,5.8769,0.0503,0.0000,0.7517,0.0039,0.0001,0.4121,0.0096,0.0044,0.0002
2113,22.0554,0.0583,9.4443,5.6268,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0551,0.0744,0.0052,0.0207,0.0683,0.0469,5.6268,0.0552,0.0000,0.7780,0.0035,0.0001,0.4195,0.0087,0.0063,0.0001
2114,22.0633,0.0583,10.1308,4.0506,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0368,0.0479,0.0034,0.0108,0.0398,0.0325,4.0506,0.0677,0.0000,0.4738,0.0025,0.0001,0.2460,0.0085,0.0031,0.0001
2115,22.0741,0.0583,10.1898,4.7008,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0031,0.0338,0.0539,0.0035,0.0147,0.0503,0.0270,4.7008,0.0561,0.0000,0.4687,0.0029,0.0001,0.2428,0.0067,0.0033,0.0001
2116,22.0898,0.0583,11.4681,7.5214,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0044,0.0541,0.0611,0.0053,0.0253,0.0905,0.0483,7.5214,0.0692,0.0000,0.7900,0.0052,0.0001,0.4081,0.0088,0.0071,0.0004
2117,22.1010,0.0583,12.4032,7.2737,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0018,0.0600,0.0893,0.0047,0.0281,0.0876,0.0621,7.2737,0.1108,0.0000,1.0696,0.0060,0.0001,0.5664,0.0106,0.0063,0.0002
2118,22.1111,0.0583,11.2960,6.0855,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783351808,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0513,0.0688,0.0049,0.0231,0.0788,0.0449,6.0855,0.0592,0.0000,0.8911,0.0052,0.0001,0.4346,0.0102,0.0065,0.0003
2119,22.1211,0.0583,10.3557,5.6618,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0010,0.0414,0.0679,0.0030,0.0191,0.0603,0.0484,5.6618,0.0550,0.0000,0.7603,0.0045,0.0001,0.4156,0.0077,0.0046,0.0002
2120,22.1303,0.0583,10.1861,4.9085,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0414,0.0638,0.0043,0.0182,0.0668,0.0489,4.9085,0.0686,0.0000,0.7489,0.0036,0.0001,0.4218,0.0080,0.0055,0.0001
2121,22.1430,0.0583,11.4413,6.1969,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0041,0.0488,0.0712,0.0060,0.0230,0.0744,0.0363,6.1969,0.1498,0.0000,0.5619,0.0031,0.0001,0.2739,0.0092,0.0062,0.0001
2122,22.1519,0.0583,10.1153,4.9200,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0011,0.0439,0.0619,0.0047,0.0211,0.0706,0.0453,4.9200,0.0536,0.0000,0.7248,0.0042,0.0001,0.4014,0.0063,0.0050,0.0002
2123,22.1617,0.0583,10.2751,4.6635,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0016,0.0856,0.0654,0.0053,0.0188,0.0633,0.0474,4.6635,0.0671,0.0000,0.7531,0.0040,0.0001,0.4088,0.0081,0.0067,0.0001
2124,22.1747,0.0583,10.0009,7.5367,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0486,0.0637,0.0045,0.0208,0.0801,0.0516,7.5367,0.0728,0.0000,0.6047,0.0046,0.0002,0.2688,0.0101,0.0050,0.0001
2125,22.1852,0.0583,11.8458,5.8317,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0484,0.0763,0.0037,0.0185,0.0932,0.0613,5.8317,0.0582,0.0000,0.7638,0.0048,0.0001,0.4115,0.0093,0.0050,0.0002
2126,22.1991,0.0583,11.8515,8.0138,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0016,0.0478,0.1326,0.0056,0.0198,0.0618,0.0457,8.0138,0.1010,0.0000,0.7947,0.0037,0.0001,0.4199,0.0085,0.0076,0.0002
2127,22.2079,0.0583,11.1164,5.9319,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0037,0.0324,0.0331,0.0046,0.0180,0.0499,0.0303,5.9319,0.0334,0.0000,0.4749,0.0032,0.0001,0.2446,0.0082,0.0042,0.0001
2128,22.2170,0.0583,9.7940,5.0462,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0292,0.0342,0.0041,0.0091,0.0201,0.0258,5.0462,0.0295,0.0000,0.5602,0.0016,0.0001,0.3051,0.0052,0.0014,0.0001
2129,22.2281,0.0583,9.6404,6.1731,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0460,0.0612,0.0044,0.0192,0.0625,0.0593,6.1731,0.0494,0.0000,0.7639,0.0039,0.0001,0.4218,0.0055,0.0040,0.0002
2130,22.2356,0.0583,10.3847,3.9281,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0017,0.0318,0.0406,0.0038,0.0113,0.0410,0.0378,3.9281,0.0501,0.0000,0.4755,0.0036,0.0001,0.2587,0.0069,0.0043,0.0001
2131,22.2461,0.0583,9.8741,4.6309,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0471,0.0687,0.0039,0.0192,0.0654,0.0505,4.6309,0.0612,0.0000,0.7654,0.0034,0.0001,0.4151,0.0079,0.0040,0.0002
2132,22.2549,0.0583,9.1151,4.3448,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0492,0.0582,0.0035,0.0099,0.0506,0.0535,4.3448,0.0567,0.0000,0.7703,0.0029,0.0002,0.4270,0.0097,0.0050,0.0002
2133,22.2648,0.0583,9.5898,4.6115,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0460,0.0738,0.0017,0.0063,0.0227,0.0527,4.6115,0.0700,0.0000,0.8155,0.0041,0.0001,0.4523,0.0086,0.0049,0.0002
2134,22.2741,0.0583,9.4515,4.4418,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0349,0.0556,0.0021,0.0084,0.0354,0.0375,4.4418,0.0877,0.0000,0.4777,0.0044,0.0001,0.2539,0.0069,0.0037,0.0001
2135,22.2839,0.0583,9.3713,4.8850,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0465,0.0666,0.0052,0.0241,0.0905,0.0509,4.8850,0.0645,0.0000,0.7581,0.0029,0.0001,0.4080,0.0068,0.0040,0.0002
2136,22.2927,0.0583,9.0911,4.7174,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0101,0.0415,0.0802,0.0041,0.0190,0.0349,0.0502,4.7174,0.0645,0.0000,0.7773,0.0034,0.0001,0.4505,0.0068,0.0046,0.0002
2137,22.3016,0.0583,9.3399,4.1032,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0333,0.0429,0.0032,0.0127,0.0377,0.0340,4.1032,0.0497,0.0000,0.5119,0.0029,0.0001,0.2742,0.0074,0.0038,0.0001
2138,22.3109,0.0583,9.6094,3.9152,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0021,0.0257,0.0371,0.0037,0.0104,0.0299,0.0331,3.9152,0.0379,0.0000,0.5322,0.0018,0.0001,0.2717,0.0316,0.0040,0.0001
2139,22.3202,0.0583,8.9797,4.2013,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,21.797132,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0506,0.0411,0.0028,0.0097,0.0554,0.0504,4.2013,0.0420,0.0000,0.7616,0.0054,0.0001,0.4005,0.0073,0.0046,0.0002
2140,22.3320,0.0583,10.4240,5.3799,,true,1,0.008333,0.0000,0.0083,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0018,0.0583,0.0686,0.0020,0.0100,0.1819,0.0614,5.3799,0.0624,0.0000,0.8646,0.0053,0.0001,0.4201,0.0089,0.0063,0.0003
2141,22.3426,0.0583,9.1877,6.8647,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0568,1.0865,0.0027,0.0081,0.0362,0.0629,6.8647,0.0677,0.0000,0.7944,0.0034,0.0001,0.4164,0.0062,0.0060,0.0002
2142,22.3508,0.0583,9.7453,5.2967,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0044,0.0437,0.0679,0.0047,0.0192,0.0745,0.0620,5.2967,0.0722,0.0000,0.7893,0.0048,0.0001,0.4156,0.0108,0.0064,0.0002
2143,22.3601,0.0583,9.4167,5.0888,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0011,0.0409,0.0655,0.0041,0.0190,0.0622,0.0476,5.0888,0.0654,0.0000,0.7526,0.0042,0.0001,0.4240,0.0069,0.0046,0.0001
2144,22.3685,0.0583,9.2910,4.2817,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0015,0.0448,0.0453,0.0038,0.0295,0.0551,0.0542,4.2817,0.0453,0.0000,0.5485,0.0028,0.0001,0.2839,0.0076,0.0046,0.0001
2145,22.3786,0.0583,9.6059,4.7370,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0011,0.0456,0.0777,0.0025,0.0087,0.0312,0.0496,4.7370,0.0673,0.0000,0.7997,0.0035,0.0001,0.4598,0.0066,0.0033,0.0001
2146,22.3871,0.0583,9.5809,3.7473,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0012,0.0361,0.0441,0.0028,0.0078,0.0283,0.0343,3.7473,0.0432,0.0000,0.5233,0.0034,0.0001,0.2823,0.0057,0.0034,0.0001
2147,22.3981,0.0583,9.6664,5.0689,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0017,0.0634,0.0694,0.0024,0.0078,0.0297,0.0550,5.0689,0.0687,0.0000,0.8280,0.0042,0.0001,0.4260,0.0089,0.0061,0.0002
2148,22.4055,0.0583,8.7155,3.8078,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0301,0.0453,0.0028,0.0078,0.0289,0.0343,3.8078,0.0456,0.0000,0.5258,0.0025,0.0001,0.2901,0.0076,0.0036,0.0001
2149,22.4159,0.0583,9.5772,4.8460,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0018,0.0640,0.0644,0.0025,0.0095,0.0313,0.0663,4.8460,0.0683,0.0000,0.8170,0.0048,0.0001,0.4232,0.0092,0.0050,0.0003
2150,22.4257,0.0583,9.4352,4.8806,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0016,0.0461,0.0697,0.0042,0.0195,0.0674,0.0486,4.8806,0.0836,0.0000,0.7505,0.0032,0.0001,0.4106,0.0054,0.0058,0.0002
2151,22.4345,0.0583,9.1879,4.4708,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0007,0.0390,0.0534,0.0040,0.0188,0.0489,0.0404,4.4708,0.0564,0.0000,0.5509,0.0036,0.0001,0.2889,0.0070,0.0039,0.0001
2152,22.4444,0.0583,9.8330,4.5047,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,783482880,0.000000,0.000360,22.102879,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0008,0.0356,0.0509,0.0024,0.0174,0.0594,0.0315,4.5047,0.0549,0.0000,0.5732,0.0034,0.0001,0.3090,0.0091,0.0042,0.0001
