frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
890,244.3516,74.3917,81.6721,25.9174,,false,10,0.008333,3.1418,0.0833,1.00,1.00,4.4369,22,1,40,0,53760,191,191,0,0,840953856,25.9174,0.0639,3.1418,16.1917,0.0000,0.0000
891,244.4206,74.4750,82.6884,12.2700,,false,10,0.008333,3.3100,0.0833,1.00,1.00,3.7919,22,1,40,0,53760,191,191,0,0,840953856,12.2700,0.0885,3.3100,1.2618,0.0000,0.0000
892,244.5065,74.5583,82.8349,15.3097,,false,10,0.008333,6.8980,0.0833,1.00,1.00,3.2935,22,1,40,0,53760,191,191,0,0,840957952,15.3097,0.1117,6.8980,1.4559,0.0000,0.0000
893,244.5801,74.6333,76.4694,12.4286,,false,9,0.008333,3.1854,0.0750,1.00,0.98,4.7629,22,1,40,0,53760,191,191,0,0,840957952,12.4286,0.0991,3.1854,1.6247,0.0000,0.0000
894,244.6804,74.7333,99.0247,13.5614,,false,12,0.008333,4.9713,0.1000,1.00,1.00,3.7877,22,1,40,0,53760,191,191,0,0,840957952,13.5614,0.1063,4.9713,1.3915,0.0000,0.0000
895,244.7704,74.8167,83.1433,20.4631,,false,10,0.008333,3.2946,0.0833,1.00,1.00,3.5977,22,1,40,0,53760,191,191,0,0,840957952,20.4631,0.0517,3.2946,12.3782,0.0000,0.0000
896,244.8472,74.9000,83.3874,14.0534,,false,10,0.008333,5.2703,0.0833,1.00,1.00,3.6517,22,1,40,0,53760,191,191,0,0,840957952,14.0534,0.0940,5.2703,1.2622,0.0000,0.0000
897,244.9284,74.9833,83.2576,11.8807,,false,10,0.008333,3.8533,0.0833,1.00,1.00,3.5760,22,1,40,0,53760,191,191,0,0,840957952,11.8807,0.0973,3.8533,1.3992,0.0000,0.0000
898,245.0155,75.0667,83.5373,15.1250,,false,10,0.008333,4.5612,0.0833,1.00,1.00,3.7800,22,1,40,0,53760,191,191,0,0,840957952,15.1250,0.1116,4.5612,1.5171,0.0000,0.0000
899,245.1234,75.1583,88.9671,26.9814,,false,11,0.008333,4.0682,0.0917,1.00,1.00,1.0804,22,1,40,0,53760,191,191,0,0,840957952,26.9814,0.0985,4.0682,0.9957,0.0000,0.0000
900,245.1968,75.2417,86.1644,21.4335,,false,10,0.008333,2.0821,0.0833,1.00,0.97,3.9114,22,1,40,0,53760,191,191,0,0,829218816,21.4335,0.0894,2.0821,12.0000,0.0000,0.0000
901,245.2798,75.3333,91.0576,12.2135,,false,11,0.008333,3.0978,0.0917,1.00,1.00,3.3024,22,1,40,0,53760,191,191,0,0,829218816,12.2135,0.1086,3.0978,0.9281,0.0000,0.0000
902,245.3635,75.4167,83.7130,13.0451,,false,10,0.008333,4.3910,0.0833,1.00,1.00,3.6821,22,1,40,0,53760,191,191,0,0,829218816,13.0451,0.0779,4.3910,1.1367,0.0000,0.0000
903,245.4483,75.5000,83.1275,15.0327,,false,10,0.008333,5.9638,0.0833,1.00,1.00,3.4762,22,1,40,0,53760,191,191,0,0,829218816,15.0327,0.0779,5.9638,1.3272,0.0000,0.0000
904,245.5314,75.5833,83.4758,14.8882,,false,10,0.008333,4.0743,0.0833,1.00,1.00,3.6187,22,1,40,0,53760,191,191,0,0,828764160,14.8882,0.0825,4.0743,1.4958,0.0000,0.0000
905,245.6304,75.6667,83.4026,30.3189,,false,10,0.008333,3.9907,0.0833,1.00,1.00,3.6879,22,1,40,0,53760,191,191,0,0,828768256,30.3189,0.0797,3.9907,17.8523,0.0000,0.0000
906,245.7076,75.7583,91.3312,16.0103,,false,11,0.008333,5.0217,0.0917,1.00,1.00,3.3524,22,1,40,0,53760,191,191,0,0,828768256,16.0103,0.0814,5.0217,1.4336,0.0000,0.0000
907,245.7933,75.8417,84.9374,15.8345,,false,10,0.008333,3.7500,0.0833,1.00,0.98,4.9565,22,1,40,0,53760,191,191,0,0,828768256,15.8345,0.1120,3.7500,1.3427,0.0000,0.0000
908,245.8831,75.9333,90.8362,15.1687,,false,11,0.008333,4.9590,0.0917,1.00,1.00,4.1261,22,1,40,0,53760,191,191,0,0,828768256,15.1687,0.0825,4.9590,1.5878,0.0000,0.0000
909,245.9816,76.0167,83.8211,30.4412,,false,10,0.008333,6.3799,0.0833,1.00,0.99,4.6138,22,1,40,0,53760,191,191,0,0,828768256,30.4412,0.0802,6.3799,17.7307,0.0000,0.0000
910,246.0466,76.1000,81.8227,13.4655,,false,10,0.008333,3.9673,0.0833,1.00,1.00,3.1032,22,1,40,0,53760,191,191,0,0,828768256,13.4655,0.0767,3.9673,1.3096,0.0000,0.0000
911,246.1234,76.1750,78.7815,11.9824,,false,9,0.008333,4.2818,0.0750,1.00,0.95,6.8847,22,1,40,0,53760,191,191,0,0,828768256,11.9824,0.0826,4.2818,1.1595,0.0000,0.0000
912,246.2037,76.2583,81.1127,11.1672,,false,10,0.008333,3.3838,0.0833,1.00,1.00,4.6641,22,1,40,0,53760,191,191,0,0,828768256,11.1672,0.1114,3.3838,1.2524,0.0000,0.0000
913,246.2868,76.3417,82.7180,11.7396,,false,10,0.008333,4.3690,0.0833,1.00,1.00,4.0488,22,1,40,0,53760,191,191,0,0,828768256,11.7396,0.0786,4.3690,1.3756,0.0000,0.0000
914,246.3795,76.4167,76.1720,28.2042,,false,9,0.008333,3.1842,0.0750,1.00,0.98,5.2208,22,1,40,0,53760,191,191,0,0,828768256,28.2042,0.0672,3.1842,16.9692,0.0000,0.0000
915,246.4443,76.5000,82.3299,10.7338,,false,10,0.008333,3.3136,0.0833,1.00,1.00,4.2173,22,1,40,0,53760,191,191,0,0,828768256,10.7338,0.0802,3.3136,1.2049,0.0000,0.0000
916,246.5215,76.5750,76.5995,10.2033,,false,9,0.008333,3.0576,0.0750,1.00,0.98,5.8168,22,1,40,0,53760,191,191,0,0,828768256,10.2033,0.0805,3.0576,1.2889,0.0000,0.0000
917,246.6059,76.6583,82.1651,13.4355,,false,10,0.008333,4.0340,0.0833,1.00,1.00,4.6486,22,1,40,0,53760,191,191,0,0,828768256,13.4355,0.0997,4.0340,1.2516,0.0000,0.0000
918,246.6983,76.7500,91.8313,13.1986,,false,11,0.008333,3.4513,0.0917,1.00,1.00,4.8132,22,1,40,0,53760,191,191,0,0,828768256,13.1986,0.0775,3.4513,1.2001,0.0000,0.0000
919,246.7955,76.8333,83.0909,28.1808,,false,10,0.008333,3.3536,0.0833,1.00,1.00,4.5707,22,1,40,0,53760,191,191,0,0,828772352,28.1808,0.0685,3.3536,16.3234,0.0000,0.0000
920,246.8528,76.9083,74.4929,10.8446,,false,9,0.008333,3.2360,0.0750,1.00,1.00,4.0637,22,1,40,0,53760,191,191,0,0,828772352,10.8446,0.0784,3.2360,1.2591,0.0000,0.0000
921,246.9391,76.9917,83.8442,11.8072,,false,10,0.008333,3.4089,0.0833,1.00,0.99,4.5745,22,1,40,0,53760,191,191,0,0,828772352,11.8072,0.0758,3.4089,1.4216,0.0000,0.0000
922,247.0140,77.0667,75.5461,12.5000,,false,9,0.008333,3.5833,0.0750,1.00,0.99,5.1207,22,1,40,0,53760,191,191,0,0,828772352,12.5000,0.0934,3.5833,1.4017,0.0000,0.0000
923,247.0967,77.1500,84.1946,11.0802,,false,10,0.008333,3.7489,0.0833,1.00,0.99,5.9819,22,1,40,0,53760,191,191,0,0,828575744,11.0802,0.0726,3.7489,1.3728,0.0000,0.0000
924,247.1917,77.2333,80.7670,25.3749,,false,10,0.008333,3.1538,0.0833,1.00,1.00,3.4156,22,1,40,0,53760,191,191,0,0,828575744,25.3749,0.0670,3.1538,15.3591,0.0000,0.0000
925,247.2513,77.3083,74.8992,10.1095,,false,9,0.008333,2.9445,0.0750,1.00,1.00,3.3148,22,1,40,0,53760,191,191,0,0,828575744,10.1095,0.0782,2.9445,1.2588,0.0000,0.0000
926,247.3364,77.3917,83.1652,12.1762,,false,10,0.008333,4.5937,0.0833,1.00,1.00,3.1467,22,1,40,0,53760,191,191,0,0,828575744,12.1762,0.0696,4.5937,1.1454,0.0000,0.0000
927,247.4103,77.4667,75.4271,10.2950,,false,9,0.008333,3.0427,0.0750,1.00,0.99,3.5738,22,1,40,0,53760,191,191,0,0,828575744,10.2950,0.0952,3.0427,1.1681,0.0000,0.0000
928,247.4931,77.5500,83.0219,10.3841,,false,10,0.008333,3.5038,0.0833,1.00,1.00,3.2623,22,1,40,0,53760,191,191,0,0,828575744,10.3841,0.0739,3.5038,1.1467,0.0000,0.0000
929,247.5849,77.6250,75.4119,26.8232,,false,9,0.008333,3.5516,0.0750,1.00,0.99,3.6742,22,1,40,0,53760,191,191,0,0,828575744,26.8232,0.0842,3.5516,16.9031,0.0000,0.0000
930,247.6633,77.7167,92.0196,12.9895,,false,11,0.008333,4.0374,0.0917,1.00,1.00,4.0272,22,1,40,0,53760,191,191,0,0,828575744,12.9895,0.0908,4.0374,1.2814,0.0000,0.0000
931,247.7456,77.8000,82.6638,12.8215,,false,10,0.008333,3.6930,0.0833,1.00,1.00,3.3577,22,1,40,0,53760,191,191,0,0,828571648,12.8215,0.0693,3.6930,1.3065,0.0000,0.0000
932,247.8192,77.8750,75.2163,10.7073,,false,9,0.008333,3.4542,0.0750,1.00,1.00,3.5740,22,1,40,0,53760,191,191,0,0,828575744,10.7073,0.0785,3.4542,1.1932,0.0000,0.0000
933,247.9028,77.9583,82.9165,11.6612,,false,10,0.008333,3.7562,0.0833,1.00,1.00,3.1572,22,1,40,0,53760,191,191,0,0,828575744,11.6612,0.0779,3.7562,1.4522,0.0000,0.0000
934,247.9926,78.0333,75.2619,26.1534,,false,9,0.008333,3.4632,0.0750,1.00,1.00,3.4191,22,1,40,0,53760,191,191,0,0,828575744,26.1534,0.0654,3.4632,15.3637,0.0000,0.0000
935,248.0632,78.1167,83.6636,13.2757,,false,10,0.008333,4.0210,0.0833,1.00,1.00,3.7493,22,1,40,0,53760,191,191,0,0,828575744,13.2757,0.0783,4.0210,1.3235,0.0000,0.0000
936,248.1443,78.2000,83.3487,11.0202,,false,10,0.008333,3.4629,0.0833,1.00,1.00,3.7647,22,1,40,0,53760,191,191,0,0,828575744,11.0202,0.0854,3.4629,1.2782,0.0000,0.0000
