frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms
1431,27.6196,27.3333,59.5436,8.3885,,false,7,0.008333,1.7929,0.0583,1.00,0.98,7.6488,22,1,191,0,256704,191,191,0,0,903888896,8.3885,0.0683,1.7929,1.3064
1432,27.6730,27.3833,50.6681,11.0922,,false,6,0.008333,2.0050,0.0500,1.00,0.99,8.3169,22,1,191,0,256704,191,191,0,0,903888896,11.0922,0.0882,2.0050,2.6502
1433,27.7264,27.4417,56.3401,8.2168,,false,7,0.008333,2.1414,0.0583,1.00,1.00,6.3236,22,1,191,0,256704,191,191,0,0,903888896,8.2168,0.0621,2.1414,1.1030
1434,27.7881,27.5000,58.7498,10.9062,,false,7,0.008333,1.8778,0.0583,1.00,0.99,6.7401,22,1,191,0,256704,191,191,0,0,903888896,10.9062,0.0709,1.8778,1.2641
1435,27.8352,27.5500,49.7568,8.1456,,false,6,0.008333,1.9565,0.0500,1.00,1.00,6.4969,22,1,191,0,256704,191,191,0,0,903942144,8.1456,0.0711,1.9565,1.1455
1436,27.8933,27.6083,58.5127,8.1649,,false,7,0.008333,1.8723,0.0583,1.00,1.00,6.6763,22,1,191,0,256704,191,191,0,0,911364096,8.1649,0.0617,1.8723,1.2012
1437,27.9518,27.6583,49.9274,16.5646,,false,6,0.008333,1.8809,0.0500,1.00,1.00,6.6037,22,1,191,0,256704,191,191,0,0,922963968,16.5646,0.0731,1.8809,1.1514
1438,28.0006,27.7167,58.1662,7.3909,,false,7,0.008333,1.6533,0.0583,1.00,1.00,6.4366,22,1,191,0,256704,191,191,0,0,923734016,7.3909,0.0809,1.6533,0.9821
1439,28.0585,27.7750,58.9450,6.3291,,false,7,0.008333,1.1430,0.0583,1.00,0.99,7.0482,22,1,191,0,256704,191,191,0,0,926863360,6.3291,0.1156,1.1430,1.5935
1440,28.1129,27.8333,51.3687,9.1069,,false,7,0.008333,2.3617,0.0583,1.00,1.00,0.0836,22,1,191,0,256704,191,191,0,0,926863360,9.1069,0.0709,2.3617,1.1778
1441,28.1711,27.8917,59.0869,8.3894,,false,7,0.008333,2.0592,0.0583,1.00,0.99,0.8372,22,1,191,0,256704,191,191,0,0,926863360,8.3894,0.0668,2.0592,1.2795
1442,28.2275,27.9417,55.9297,8.9148,,false,6,0.008333,2.2544,0.0500,1.00,0.89,6.7670,22,1,191,0,256704,191,191,0,0,926871552,8.9148,0.1171,2.2544,1.4515
1443,28.2792,28.0000,51.6582,8.7895,,false,7,0.008333,2.1991,0.0583,1.00,1.00,0.0919,22,1,191,0,256704,191,191,0,0,926871552,8.7895,0.0678,2.1991,1.1601
1444,28.3369,28.0500,56.7744,9.5334,,false,6,0.008333,1.7646,0.0500,1.00,0.88,6.8663,22,1,191,0,256704,191,191,0,0,926871552,9.5334,0.0709,1.7646,1.1399
1445,28.3908,28.1083,57.5850,6.1301,,false,7,0.008333,1.2162,0.0583,1.00,1.00,6.1180,22,1,191,0,256704,191,191,0,0,926871552,6.1301,0.0558,1.2162,0.7535
1446,28.4564,28.1667,60.3200,11.3007,,false,7,0.008333,2.5624,0.0583,1.00,0.97,8.1046,22,1,191,0,256704,191,191,0,0,926871552,11.3007,0.1007,2.5624,3.7685
1447,28.5069,28.2250,52.0020,9.7649,,false,7,0.008333,2.6835,0.0583,1.00,1.00,1.7733,22,1,191,0,256704,191,191,0,0,926871552,9.7649,0.0779,2.6835,1.1889
1448,28.5624,28.2750,56.4033,8.8456,,false,6,0.008333,2.2292,0.0500,1.00,0.89,8.1767,22,1,191,0,256704,191,191,0,0,926871552,8.8456,0.0741,2.2292,1.1890
1449,28.6192,28.3333,56.7596,9.0123,,false,7,0.008333,2.0692,0.0583,1.00,1.00,6.6029,22,1,191,0,256704,191,191,0,0,926883840,9.0123,0.0809,2.0692,1.5741
1450,28.6699,28.3833,51.1564,8.4312,,false,6,0.008333,1.8882,0.0500,1.00,0.98,7.7593,22,1,191,0,256704,191,191,0,0,926883840,8.4312,0.0743,1.8882,1.1503
1451,28.7293,28.4417,57.0409,10.8650,,false,7,0.008333,2.0271,0.0583,1.00,1.00,6.4670,22,1,191,0,256704,191,191,0,0,926883840,10.8650,0.0693,2.0271,1.2927
