frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
536,9.3098,9.0417,16.2680,5.1040,,true,2,0.008333,0.1899,0.0167,1.00,1.00,1.2325,22,1,382,382,0,351,451,0,15,15,0,357120,0,681,0,0,739143680,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0005,0.0027,0.0381,0.0425,0.0063,0.1905,0.0046,5.1040,0.0165,0.1899,0.3959,0.0004,0.0003,0.1405,0.0011,0.0010,0.0000,0.0000,0.0008
537,9.3236,9.0500,14.4334,4.6251,,true,1,0.008333,0.1665,0.0083,1.00,0.58,7.3326,22,1,382,382,0,351,451,0,15,15,0,357120,0,681,0,0,739147776,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0005,0.0026,0.0926,0.0498,0.0075,0.1669,0.0051,4.6251,0.0230,0.1665,0.4365,0.0003,0.0003,0.1821,0.0021,0.0008,0.0000,0.0000,0.0004
538,9.3395,9.0667,15.8442,4.4745,,true,2,0.008333,0.1702,0.0167,1.00,1.00,6.5101,22,1,382,382,0,350,450,0,15,15,0,357120,0,681,0,0,739213312,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0002,0.0022,0.0413,0.0448,0.0073,0.1705,0.0055,4.4745,0.0126,0.1702,0.4579,0.0007,0.0010,0.1808,0.0010,0.0019,0.0000,0.0000,0.0008
539,9.3601,9.0833,16.3007,8.8147,,true,2,0.008333,0.2142,0.0167,1.00,1.00,6.1441,22,1,382,382,8,350,450,0,15,15,0,357120,0,689,20,40,739278848,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0004,0.0013,0.0478,0.0398,0.0078,0.2150,0.0048,8.8147,0.0151,0.2142,3.6337,0.0001,0.1357,0.2006,0.0017,0.0009,0.0000,0.0000,2.9862
540,9.3713,9.1000,15.3022,4.6187,,true,2,0.008333,0.1932,0.0167,1.00,1.00,4.7797,22,1,382,382,8,359,459,0,15,15,8,357120,0,697,12,40,739278848,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0004,0.0012,0.0486,0.0349,0.0058,0.1942,0.0049,4.6187,0.0189,0.1932,0.6471,0.0235,0.1294,0.1854,0.0017,0.0106,0.0000,33.1526,0.0007
541,9.3861,9.1167,14.3553,4.9930,,true,2,0.008333,0.1704,0.0167,1.00,1.00,2.4683,22,1,382,382,4,369,469,0,15,15,8,357120,0,701,4,20,740937728,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0002,0.0015,0.0363,0.0490,0.0081,0.1708,0.0066,4.9930,0.0149,0.1704,0.8543,0.0194,0.1376,0.1276,0.0013,0.0083,0.0000,32.1706,0.0008
542,9.4025,9.1333,16.0673,4.9868,,true,2,0.008333,0.1782,0.0167,1.00,1.00,1.8690,22,1,382,382,0,374,474,0,15,15,4,357120,0,701,0,0,741900288,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,31,40,35,42,33,28,0,0,0.0007,0.0033,0.0442,0.0422,0.0096,0.1786,0.0064,4.9868,0.0192,0.1782,0.5793,0.0170,0.0003,0.1458,0.0014,0.0148,0.0000,18.3272,0.0013
543,9.4202,9.1500,16.9300,5.7803,,true,2,0.008333,0.3484,0.0167,1.00,0.98,2.1323,22,1,382,382,0,375,475,0,15,15,0,357120,0,701,0,0,741900288,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,32,36,35,42,32,32,0,0,0.0010,0.0031,0.0399,0.0340,0.0075,0.3499,0.0065,5.7803,0.0150,0.3484,0.4409,0.0004,0.0003,0.1456,0.0014,0.0011,0.0000,0.0000,0.0006
544,9.4357,9.1667,16.7313,4.8139,,true,2,0.008333,0.1973,0.0167,1.00,1.00,2.1969,22,1,382,382,0,374,474,0,15,15,0,357120,0,701,0,0,741900288,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,32,36,35,42,32,32,0,0,0.0004,0.0037,0.0599,0.0340,0.0066,0.1981,0.0073,4.8139,0.0183,0.1973,0.4467,0.0007,0.0005,0.1569,0.0016,0.0015,0.0000,0.0000,0.0011
545,9.4519,9.1833,16.6670,4.6811,,true,2,0.008333,0.1916,0.0167,1.00,1.00,2.1972,22,1,382,382,0,373,473,0,15,15,0,357120,0,701,0,0,741900288,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,20,21,33,32,36,35,42,32,32,0,0,0.0005,0.0024,0.0386,0.0461,0.0088,0.1925,0.0063,4.6811,0.0158,0.1916,0.4527,0.0006,0.0003,0.1577,0.0018,0.0009,0.0000,0.0000,0.0005
