frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
854,13.0044,12.7833,13.7690,3.6567,,true,2,0.008333,0.1700,0.0167,1.00,1.00,1.5249,22,1,382,382,0,396,496,0,15,15,0,370944,0,987,0,0,880062464,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0011,0.0268,0.0248,0.0027,0.1703,0.0037,3.6567,0.0101,0.1700,0.2339,0.0002,0.0005,0.1043,0.0009,0.0008,0.0000,0.0000,0.0004
855,13.0187,12.7917,13.8935,4.0349,,true,1,0.008333,0.1323,0.0083,1.00,0.60,7.0850,22,1,382,382,0,395,495,0,15,15,0,368640,0,987,0,0,880062464,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0014,0.0380,0.0264,0.0038,0.1326,0.0034,4.0349,0.0093,0.1323,0.3620,0.0002,0.0002,0.1429,0.0008,0.0007,0.0000,0.0000,0.0007
856,13.0333,12.8083,14.5751,4.0587,,true,2,0.008333,0.2333,0.0167,1.00,1.00,4.9935,22,1,382,382,0,394,494,0,15,15,0,368640,0,987,0,0,880062464,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0007,0.0413,0.0294,0.0038,0.2337,0.0026,4.0587,0.0130,0.2333,0.3978,0.0003,0.0004,0.1488,0.0009,0.0004,0.0000,0.0000,0.0002
857,13.0476,12.8250,14.4205,3.9458,,true,2,0.008333,0.1295,0.0167,1.00,1.00,2.7473,22,1,382,382,0,395,495,0,15,15,0,368640,0,987,0,0,880062464,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0022,0.0395,0.0301,0.0054,0.1297,0.0037,3.9458,0.0136,0.1295,0.3836,0.0006,0.0005,0.1440,0.0010,0.0007,0.0000,0.0000,0.0004
858,13.0612,12.8333,13.8850,3.7646,,true,1,0.008333,0.1282,0.0083,1.00,0.60,8.2989,22,1,382,382,0,394,494,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0004,0.0006,0.0306,0.0348,0.0054,0.1288,0.0027,3.7646,0.0117,0.1282,0.2917,0.0004,0.0001,0.1355,0.0008,0.0003,0.0000,0.0000,0.0004
859,13.0759,12.8500,14.5644,3.8126,,true,2,0.008333,0.1327,0.0167,1.00,1.00,6.1967,22,1,382,382,0,394,494,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0007,0.0387,0.0220,0.0026,0.1331,0.0037,3.8126,0.0155,0.1327,0.4067,0.0005,0.0003,0.1789,0.0011,0.0005,0.0000,0.0000,0.0006
860,13.0895,12.8667,13.6797,3.8147,,true,2,0.008333,0.1270,0.0167,1.00,1.00,3.2098,22,1,382,382,0,394,494,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0010,0.0388,0.0297,0.0039,0.1272,0.0030,3.8147,0.0120,0.1270,0.3488,0.0006,0.0002,0.1370,0.0009,0.0007,0.0000,0.0000,0.0004
861,13.1033,12.8833,13.7521,3.8166,,true,2,0.008333,0.1805,0.0167,1.00,1.00,0.2952,22,1,382,382,0,396,496,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0008,0.0365,0.0230,0.0022,0.1809,0.0024,3.8166,0.0141,0.1805,0.3917,0.0005,0.0003,0.1538,0.0011,0.0010,0.0000,0.0000,0.0007
862,13.1171,12.8917,13.9530,3.6470,,true,1,0.008333,0.2025,0.0083,1.00,0.60,5.9149,22,1,382,382,0,395,495,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0007,0.0375,0.0220,0.0028,0.2030,0.0027,3.6470,0.0113,0.2025,0.3840,0.0008,0.0004,0.1405,0.0008,0.0013,0.0000,0.0000,0.0004
863,13.1315,12.9083,14.3635,3.6551,,true,2,0.008333,0.2124,0.0167,1.00,1.00,3.6117,22,1,382,382,0,395,495,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0008,0.0439,0.0239,0.0025,0.2126,0.0028,3.6551,0.0128,0.2124,0.3733,0.0006,0.0003,0.1484,0.0009,0.0008,0.0000,0.0000,0.0005
864,13.1459,12.9250,14.3819,3.7131,,true,2,0.008333,0.1329,0.0167,1.00,1.00,1.3269,22,1,382,382,0,396,496,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0008,0.0362,0.0218,0.0026,0.1335,0.0031,3.7131,0.0115,0.1329,0.3399,0.0004,0.0002,0.1354,0.0017,0.0006,0.0000,0.0000,0.0003
865,13.1598,12.9333,14.0375,3.5411,,true,1,0.008333,0.1002,0.0083,1.00,0.59,7.0311,22,1,382,382,0,395,495,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0008,0.0388,0.0235,0.0029,0.1005,0.0027,3.5411,0.0126,0.1002,0.3736,0.0005,0.0002,0.1406,0.0011,0.0007,0.0000,0.0000,0.0004
866,13.1745,12.9500,13.9139,4.3187,,true,2,0.008333,0.1927,0.0167,1.00,1.00,4.2783,22,1,382,382,0,395,495,0,15,15,0,366336,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0013,0.0499,0.0205,0.0023,0.1930,0.0026,4.3187,0.0163,0.1927,0.5059,0.0007,0.0003,0.2375,0.0010,0.0007,0.0000,0.0000,0.0007
867,13.1892,12.9667,15.0056,3.9059,,true,2,0.008333,0.1618,0.0167,1.00,1.00,2.6173,22,1,382,382,0,396,496,0,15,15,0,364032,0,987,0,0,880066560,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0011,0.0407,0.0297,0.0038,0.1619,0.0032,3.9059,0.0159,0.1618,0.3776,0.0007,0.0003,0.1436,0.0009,0.0006,0.0000,0.0000,0.0005
868,13.2023,12.9750,13.5785,3.5947,,true,1,0.008333,0.1362,0.0083,1.00,0.61,7.8624,22,1,382,382,0,395,495,0,15,15,0,364032,0,987,0,0,880070656,0.000000,0.000000,0.000000,0.00,2,7,10,18,16,25,21,22,11,39,38,44,35,41,41,12,0,0,0.0002,0.0009,0.0419,0.0285,0.0021,0.1366,0.0023,3.5947,0.0119,0.1362,0.3592,0.0004,0.0002,0.1430,0.0009,0.0006,0.0000,0.0000,0.0004
