frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
326,6.4562,0.0000,31.7951,18.2458,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,330,360,3,89,189,0,17,17,8,0,21435,899,3,15,911749120,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,27,26,30,32,27,18,8,0.0002,0.0028,0.0863,0.1256,0.0125,0.0000,0.0221,18.2458,0.0416,0.0000,0.0000,0.0000,2.7042,0.0199,0.5313,0.4558,0.9828,0.0215,0.0000,60.3262,0.0013
327,6.4808,0.0000,30.5243,13.2207,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,333,360,0,88,188,0,17,17,3,0,21768,899,0,0,911749120,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,27,26,30,32,27,17,12,0.0001,0.0011,0.0476,0.0520,0.0061,0.0000,0.0048,13.2207,0.0287,0.0000,0.0000,0.0000,1.5997,0.0164,0.2594,0.2821,0.5961,0.0066,0.0000,18.1800,0.0006
328,6.5154,0.0000,27.3579,20.3771,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,289,365,8,86,186,0,16,16,0,0,22057,907,187,40,911749120,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,39,32,9,19,27,28,24,22,32,29,12,0,0.0003,0.0023,0.0735,0.1207,0.0176,0.0000,0.0071,20.3771,0.0393,0.0000,0.0000,0.0000,8.9476,0.0003,0.5935,0.1509,0.7210,0.0006,0.0000,0.0000,5.5923
329,6.5392,0.0000,28.6721,16.1717,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,289,365,8,64,164,0,16,16,8,0,22057,915,179,40,913846272,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,39,32,9,19,27,28,24,22,32,29,12,0,0.0006,0.0023,0.1367,0.1420,0.0118,0.0000,0.0135,16.1717,0.1387,0.0000,0.0000,0.0000,3.1704,0.0509,0.6261,0.1886,0.6674,0.0393,0.0000,61.9269,0.0053
330,6.5751,0.0000,40.2489,12.5079,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,274,365,8,48,148,0,16,16,8,0,22331,923,171,40,915456000,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,11,14,17,21,20,22,32,29,12,0,0.0002,0.0028,0.1232,0.0558,0.0063,0.0000,0.0111,12.5079,0.0639,0.0000,0.0000,0.0000,2.7545,0.0248,0.4179,0.3814,0.6850,0.0112,0.0000,49.5386,0.0011
331,6.6010,0.0000,26.8591,11.5521,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,226,365,8,36,136,0,16,16,8,0,22557,931,163,40,915456000,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,11,15,15,15,15,15,15,17,12,0,0.0002,0.0029,0.0523,0.0491,0.0068,0.0000,0.0084,11.5521,0.0228,0.0000,0.0000,0.0000,2.3399,0.0413,0.4253,0.1712,0.5174,0.0289,0.0000,40.3159,0.0006
332,6.6364,0.0000,36.5523,10.6007,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,205,365,8,27,127,0,16,16,8,0,22762,939,155,40,915456000,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,12,12,12,12,12,12,12,13,12,0,0.0007,0.0101,0.0439,0.0885,0.0068,0.0000,0.0049,10.6007,0.0310,0.0000,0.0000,0.0000,2.1099,0.0468,0.3934,0.1210,0.4159,0.0160,0.0000,43.7623,0.0007
333,6.7040,0.0000,39.2160,35.7948,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,205,365,8,23,123,0,16,16,8,0,22762,947,147,40,915456000,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,12,12,12,12,12,12,12,13,12,0,0.0003,0.0021,0.0520,0.0427,0.0046,0.0000,0.0097,35.7948,0.0237,0.0000,0.0000,0.0000,2.2226,0.0380,0.4948,0.1083,0.4416,0.0185,0.0000,45.2255,0.0003
334,6.7161,0.0000,41.2246,9.5719,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,205,365,8,21,121,0,16,16,8,0,22762,955,139,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,12,12,12,12,12,12,12,13,12,0,0.0002,0.0019,0.1793,0.0713,0.0055,0.0000,0.0056,9.5719,0.0506,0.0000,0.0000,0.0000,2.0640,0.0354,0.3614,0.1995,0.4198,0.0104,0.0000,51.0523,0.0013
335,6.7390,0.0000,23.7897,8.7256,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,205,365,8,20,120,0,16,16,8,0,22762,963,131,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,12,12,12,12,12,12,12,13,12,0,0.0002,0.0025,0.0675,0.0562,0.0063,0.0000,0.0148,8.7256,0.0476,0.0000,0.0000,0.0000,1.5730,0.0327,0.3128,0.1115,0.3332,0.0098,0.0000,38.1939,0.0004
